Potential - Start -0.205 V, Stop 1.505 V, Step 0.005 V; Modulation - Amplitude 0.05 V, Time 0.025 s, Interval time 0.05 s
Index	Base.Time (s)	Potential applied (V)	WE(1).Base.Potential (V)	WE(1).Base.Current (A)	WE(1).Pulse.Current (A)	WE(1).δ.Current (A)	WE(1).Base.Power (W)	WE(1).Base.Resistance (Ω)	WE(1).Base.Charge (C)
1	139.759344647142	-0.204925537109375		-4.0618896484375E-07	3.48815917968751E-07	7.550048828125E-07	8.31641102649883E-08	504057.125	0
2	139.809344647015	-0.19989013671875		-6.439208984375E-07	3.1402587890625E-07	9.5794677734375E-07	1.28654477293821E-07	310284.375	-2.62527457550732E-08
3	139.859344646889	-0.194854736328125		-6.4605712890625E-07	3.19824218750001E-07	9.6588134765625E-07	1.25808426787444E-07	301417.09375	-5.85021950882947E-08
4	139.909344646763	-0.1898193359375		-6.3629150390625E-07	3.3111572265625E-07	9.674072265625E-07	1.20702750905366E-07	298129.5	-9.05609098822424E-08
5	139.959344646637	-0.184783935546875		-6.2408447265625E-07	3.44238281250001E-07	9.68322753906251E-07	1.15225553543041E-07	295843.53125	-1.22070304087174E-07
6	140.00934464651	-0.17974853515625		-6.134033203125E-07	3.57971191406251E-07	9.71374511718751E-07	1.10220902627134E-07	292935.34375	-1.53007505332425E-07
7	140.059344646384	-0.174713134765625		-6.024169921875E-07	3.71398925781249E-07	9.7381591796875E-07	1.05176624742853E-07	289817.625	-1.83403017217643E-07
8	140.109344646258	-0.169677734375		-5.92651367187499E-07	3.85131835937499E-07	9.77783203124999E-07	1.00487397958204E-07	286096.8125	-2.13279719218917E-07
9	140.159344646132	-0.164642333984375		-5.8349609375E-07	3.99169921875001E-07	9.82666015625E-07	9.59969312930298E-08	281956.0625	-2.42683398710142E-07
10	140.209344646005	-0.15960693359375		-5.74951171875E-07	4.13818359375E-07	9.8876953125E-07	9.16960090080465E-08	277388.53125	-2.71644580607244E-07
11	140.259344645879	-0.154571533203125		-5.67626953125E-07	4.29382324218749E-07	9.9700927734375E-07	8.76523529313999E-08	272043	-3.00209052284117E-07
12	140.309344645753	-0.1495361328125		-5.596923828125E-07	4.4525146484375E-07	1.00494384765625E-06	8.36429876471811E-08	267012	-3.28392019355306E-07
13	140.359344645627	-0.144500732421875		-5.5419921875E-07	4.62646484375E-07	1.016845703125E-06	8.0065284180364E-08	260682.8125	-3.56239326038121E-07
14	140.4093446455	-0.13946533203125		-5.4931640625E-07	4.81567382812501E-07	1.0308837890625E-06	7.65602976571245E-08	253722.234375	-3.83827199357256E-07
15	140.459344645374	-0.134429931640625		-5.4443359375E-07	5.02624511718749E-07	1.04705810546875E-06	7.31383238417038E-08	246748.875	-4.11170958614093E-07
16	140.509344645248	-0.12939453125		-5.419921875E-07	5.25512695312499E-07	1.0675048828125E-06	7.00977409451298E-08	238626.140625	-4.3833159679707E-07
17	140.559344645122	-0.124359130859375		-5.3985595703125E-07	5.51757812500001E-07	1.09161376953125E-06	6.70701112426286E-08	230130.03125	-4.6537780917788E-07
18	140.609344644996	-0.11932373046875		-5.3924560546875E-07	5.81970214843749E-07	1.1212158203125E-06	6.43118838183909E-08	221165.8125	-4.92355354708707E-07
19	140.659344644869	-0.114288330078125		-5.41076660156251E-07	6.15844726562501E-07	1.15692138671875E-06	6.17892084164851E-08	211054.71875	-5.19363368312042E-07
20	140.709344644743	-0.1092529296875		-5.44128417968751E-07	6.5582275390625E-07	1.199951171875E-06	5.93978057850109E-08	200616.9375	-5.4649353842251E-07
21	140.759344644617	-0.104217529296875		-5.48706054687501E-07	7.02514648437499E-07	1.251220703125E-06	5.71513005809265E-08	189822.03125	-5.73814361359837E-07
22	140.809344644491	-0.09918212890625		-5.572509765625E-07	7.5408935546875E-07	1.31134033203125E-06	5.52353256466631E-08	177875.140625	-6.01463284510828E-07
23	140.859344644364	-0.094146728515625		-5.70068359375001E-07	8.1695556640625E-07	1.38702392578125E-06	5.36178745846883E-08	164989.296875	-6.29646308425436E-07
24	140.909344644238	-0.089111328125		-5.84716796875E-07	8.9111328125E-07	1.475830078125E-06	5.20691969541076E-08	152296.453125	-6.58515943996463E-07
25	140.959344644112	-0.084075927734375		-6.03637695312501E-07	9.7808837890625E-07	1.58172607421875E-06	5.07329751542329E-08	139231.5625	-6.88224758960132E-07
26	141.009344643986	-0.07904052734375		-6.28662109375E-07	1.0797119140625E-06	1.7083740234375E-06	4.96322307697028E-08	125582.5234375	-7.19032300366962E-07
27	141.059344643859	-0.074005126953125		-6.57043457031251E-07	1.1981201171875E-06	1.85516357421875E-06	4.85644271464025E-08	112494.203125	-7.51174923152576E-07
28	141.109344643733	-0.0689697265625		-6.92138671875001E-07	1.3348388671875E-06	2.0269775390625E-06	4.76943675664643E-08	99559.0859375	-7.84904443662526E-07
29	141.159344643607	-0.063934326171875		-7.354736328125E-07	1.4935302734375E-06	2.22900390625E-06	4.69995669050149E-08	86887.96875	-8.20594777906081E-07
30	141.209344643481	-0.05889892578125		-7.855224609375E-07	1.67449951171875E-06	2.46002197265625E-06	4.62424551983531E-08	74941.7265625	-8.58619671362248E-07
31	141.259344643354	-0.053863525390625		-8.441162109375E-07	1.87957763671875E-06	2.72369384765625E-06	4.5364032530415E-08	63665.9453125	-8.99360657058423E-07
32	141.309344643228	-0.048828125		-9.08813476562501E-07	2.1112060546875E-06	3.02001953125E-06	4.42619452201143E-08	53589.66015625	-9.43183863455488E-07
33	141.359344643102	-0.043792724609375		-9.88159179687501E-07	2.366943359375E-06	3.3551025390625E-06	4.31565716496607E-08	44197.03515625	-9.90608214124222E-07
34	141.409344642976	-0.03875732421875		-1.07208251953125E-06	2.647705078125E-06	3.71978759765625E-06	4.13874587934515E-08	36009.109375	-1.04211426332768E-06
35	141.459344642849	-0.033721923828125		-1.16455078125E-06	2.950439453125E-06	4.114990234375E-06	3.91003034394544E-08	28831.236328125	-1.09803011127951E-06
36	141.509344642723	-0.0286865234375		-1.2640380859375E-06	3.27392578125E-06	4.5379638671875E-06	3.60911229790872E-08	22588.123046875	-1.15874479433842E-06
37	141.559344642597	-0.023651123046875		-1.36749267578125E-06	3.61114501953125E-06	4.9786376953125E-06	3.22091899818133E-08	17223.833984375	-1.22453309359116E-06
38	141.609344642471	-0.01861572265625		-1.47247314453125E-06	3.95751953125E-06	5.42999267578125E-06	2.72403930523524E-08	12563.7314453125	-1.29553222905088E-06
39	141.659344642345	-0.013580322265625		-1.57379150390625E-06	4.3060302734375E-06	5.87982177734375E-06	2.11324540089208E-08	8532.0927734375	-1.37168876790383E-06
40	141.709344642218	-0.008544921875		-1.6680908203125E-06	4.65087890625E-06	6.3189697265625E-06	1.41009870446851E-08	5067.69140625	-1.4527358871419E-06
41	141.759344642092	-0.003509521484375		-1.7498779296875E-06	4.98046875E-06	6.7303466796875E-06	6.0023888082128E-09	1960.23718261719	-1.53818507442338E-06
