Potential - OCP -0.00348358154296875 V
Time (s)	WE(1).Potential (V)
15.6954729603727	-0.0014312744140625
15.7954729601203	-0.00144348144531251
15.8954729598678	-0.00145568847656249
15.9954729596153	-0.0014678955078125
16.0954729593628	-0.001483154296875
16.1954729591104	-0.001495361328125
16.2954729588579	-0.001507568359375
16.3954729586054	-0.0015228271484375
16.4954729583529	-0.00153503417968751
16.5954729581005	-0.00154724121093749
16.695472957848	-0.0015594482421875
16.7954729575955	-0.00157470703125
16.895472957343	-0.0015869140625
16.9954729570906	-0.00159912109375
17.0954729568381	-0.0016143798828125
17.1954729565856	-0.00162658691406251
17.2954729563331	-0.00163879394531249
17.3954729560807	-0.0016510009765625
17.4954729558282	-0.0016632080078125
17.5954729555757	-0.001678466796875
17.6954729553232	-0.001690673828125
17.7954729550707	-0.00170288085937501
17.8954729548183	-0.00171813964843751
17.9954729545658	-0.00173034667968749
18.0954729543133	-0.0017425537109375
18.1954729540608	-0.0017547607421875
18.2954729538084	-0.0017669677734375
18.3954729535559	-0.00177917480468751
18.4954729533034	-0.001788330078125
18.5954729530509	-0.001800537109375
18.6954729527985	-0.0018157958984375
18.795472952546	-0.0018280029296875
18.8954729522935	-0.00184020996093751
18.995472952041	-0.001849365234375
19.0954729517886	-0.001861572265625
19.1954729515361	-0.00187072753906251
19.2954729512836	-0.00188293457031249
19.3954729510311	-0.00189208984375
19.4954729507787	-0.00190124511718751
19.5954729505262	-0.001910400390625
19.6954729502737	-0.0019195556640625
19.7954729500212	-0.001934814453125
19.8954729497688	-0.00194091796875
19.9954729495163	-0.001953125
20.0954729492638	-0.00196228027343751
20.1954729490113	-0.001971435546875
20.2954729487589	-0.0019805908203125
20.3954729485064	-0.00198974609374999
20.4954729482539	-0.0019989013671875
20.5954729480014	-0.00200805664062501
20.695472947749	-0.00202026367187499
20.7954729474965	-0.0020294189453125
20.895472947244	-0.00203857421875001
20.9954729469915	-0.0020477294921875
21.0954729467391	-0.002056884765625
21.1954729464866	-0.00206604003906249
21.2954729462341	-0.0020751953125
21.3954729459816	-0.00208435058593751
21.4954729457291	-0.002093505859375
21.5954729454767	-0.00209960937500001
21.6954729452242	-0.0021087646484375
21.7954729449717	-0.002117919921875
21.8954729447192	-0.00213012695312501
21.9954729444668	-0.0021392822265625
22.0954729442143	-0.0021484375
22.1954729439618	-0.00215759277343749
22.2954729437093	-0.002166748046875
22.3954729434569	-0.00217590332031251
22.4954729432044	-0.00218505859375
22.5954729429519	-0.0021942138671875
22.6954729426994	-0.00220642089843751
22.795472942447	-0.002215576171875
22.8954729421945	-0.00222167968750001
22.995472941942	-0.0022308349609375
23.0954729416895	-0.0022430419921875
23.1954729414371	-0.00224914550781249
23.2954729411846	-0.0022613525390625
23.3954729409321	-0.00226745605468751
23.4954729406796	-0.002276611328125
23.5954729404272	-0.0022857666015625
23.6954729401747	-0.00229492187499999
23.7954729399222	-0.0023040771484375
23.8954729396697	-0.00231323242187501
23.9954729394173	-0.0023193359375
24.0954729391648	-0.00232849121093751
24.1954729389123	-0.002337646484375
24.2954729386598	-0.002349853515625
24.3954729384074	-0.00235900878906251
24.4954729381549	-0.0023681640625
24.5954729379024	-0.0023773193359375
24.6954729376499	-0.0023834228515625
24.7954729373974	-0.002392578125
24.895472937145	-0.00240173339843749
24.9954729368925	-0.002410888671875
25.09547293664	-0.00242004394531251
25.1954729363875	-0.00242919921875
25.2954729361351	-0.0024383544921875
25.3954729358826	-0.0024444580078125
25.4954729356301	-0.0024566650390625
25.5954729353776	-0.00246582031250001
25.6954729351252	-0.0024749755859375
25.7954729348727	-0.002484130859375
25.8954729346202	-0.002490234375
25.9954729343677	-0.0024993896484375
26.0954729341153	-0.0025054931640625
26.1954729338628	-0.0025177001953125
26.2954729336103	-0.00252380371093749
26.3954729333578	-0.00253906249999999
26.4954729331054	-0.002545166015625
26.5954729328529	-0.00255432128906249
26.6954729326004	-0.0025634765625
26.7954729323479	-0.00257263183593751
26.8954729320955	-0.002581787109375
26.995472931843	-0.00258789062500001
27.0954729315905	-0.0025970458984375
27.195472931338	-0.002606201171875
27.2954729310856	-0.00261535644531249
27.3954729308331	-0.00262451171875
27.4954729305806	-0.00263061523437499
27.5954729303281	-0.0026397705078125
27.6954729300757	-0.00264892578125001
27.7954729298232	-0.002655029296875
27.8954729295707	-0.00266418457031251
27.9954729293182	-0.0026702880859375
28.0954729290657	-0.00267944335937501
28.1954729288133	-0.002685546875
28.2954729285608	-0.00269470214843751
28.3954729283083	-0.0027008056640625
28.4954729280558	-0.00270996093750001
28.5954729278034	-0.002716064453125
28.6954729275509	-0.00272521972656251
28.7954729272984	-0.0027313232421875
28.8954729270459	-0.00273742675781249
28.9954729267935	-0.00274658203125
29.095472926541	-0.00275268554687499
29.1954729262885	-0.0027618408203125
29.295472926036	-0.00277099609375001
29.3954729257836	-0.002777099609375
29.4954729255311	-0.00278320312499999
29.5954729252786	-0.0027923583984375
29.6954729250261	-0.00279846191406249
29.7954729247737	-0.0028045654296875
29.8954729245212	-0.0028106689453125
29.9954729242687	-0.00281982421875
30.0954729240162	-0.002825927734375
30.1954729237638	-0.00283203125000001
30.2954729235113	-0.0028411865234375
30.3954729232588	-0.00284729003906251
30.4954729230063	-0.0028533935546875
30.5954729227539	-0.00285949707031249
30.6954729225014	-0.0028656005859375
30.7954729222489	-0.00287475585937499
30.8954729219964	-0.002880859375
30.995472921744	-0.002886962890625
31.0954729214915	-0.00289306640625001
31.195472921239	-0.002899169921875
31.2954729209865	-0.00290527343749999
