Potential - Start -0.2 V, Upper Vertex 1.5 V, Lower Vertex -0.2 V, Stop -0.19 V; Scan - # end cross 5, Rate 0.1 Vps, Step 0.01 V 
Scan	Index	Time (s)	Potential applied (V)	WE(1).Potential (V)	WE(1).Current (A)	WE(1).Power (W)	WE(1).Resistance (Ω)	WE(1).Charge (C)
1	1	65.9335778335337	-0.189971923828125	-0.1898193359375	-2.17590332031251E-07	4.13028509171909E-08	872370.3125	0
1	2	66.0342858332795	-0.179901123046875	-0.179718017578125	-1.8646240234375E-07	3.35106520310546E-08	963829.8125	-2.03456718139705E-08
1	3	66.1349938330252	-0.169830322265625	-0.169677734375	-1.60827636718749E-07	2.72888698304996E-08	1055028.5	-3.78331144190724E-08
1	4	66.2357018327709	-0.159759521484375	-0.15960693359375	-1.3885498046875E-07	2.21622169505054E-08	1149450.625	-5.29233332713375E-08
1	5	66.3364098325167	-0.149688720703125	-0.1495361328125	-1.1871337890625E-07	1.7751938585775E-08	1259640.125	-6.58929266705854E-08
1	6	66.4371178322624	-0.139617919921875	-0.139434814453125	-9.918212890625E-08	1.38294407037165E-08	1405846.25	-7.68648362736712E-08
1	7	66.5378258320081	-0.129547119140625	-0.12939453125	-8.05664062500003E-08	1.04248520926831E-08	1606060.75	-8.59158930666126E-08
1	8	66.6385338317539	-0.119476318359375	-0.119384765625	-6.19506835937506E-08	7.39596739407489E-09	1927093.75	-9.30921970621057E-08
1	9	66.7392418314996	-0.109405517578125	-0.109283447265625	-4.18090820312494E-08	4.5690402572518E-09	2613868.75	-9.83169172741327E-08
1	10	66.8399498312453	-0.099334716796875	-0.099273681640625	-1.95312500000003E-08	1.93893900934938E-09	5082812.5	-1.01405653651909E-07
1	11	66.9406578309911	-0.089263916015625	-0.089202880859375	7.32421875000028E-09	-6.53341380996153E-10	-12179167	-1.02020322856333E-07
1	12	67.0413658307368	-0.079193115234375	-0.07916259765625	3.99780273437497E-08	-3.16476445050284E-09	-1980152.75	-9.96384628138003E-08
1	13	67.1420738304826	-0.069122314453125	-0.069061279296875	8.14819335937494E-08	-5.6272462245488E-09	-847565.5625	-9.35224733211726E-08
1	14	67.2427818302283	-0.059051513671875	-0.05902099609375	1.36413574218749E-07	-8.05126543212964E-09	-432662.1875	-8.25505637180868E-08
1	15	67.343489829974	-0.048980712890625	-0.0488250732421875	2.093505859375E-07	-1.02215569341979E-08	-233221.59375	-6.51399503226457E-08
1	16	67.4441978297198	-0.038909912109375	-0.0387725830078125	3.0670166015625E-07	-1.18916148039716E-08	-126417.9140625	-3.915465995874E-08
1	17	67.5449058294655	-0.028839111328125	-0.0286865234375	4.33349609375E-07	-1.24312942162419E-08	-66197.1796875	-1.89011828410912E-09
1	18	67.6456138292112	-0.018768310546875	-0.018634033203125	5.92651367187499E-07	-1.10434843492158E-08	-31441.8125	4.97731349469177E-08
1	19	67.746321828957	-0.008697509765625	-0.00859680175781249	7.855224609375E-07	-6.75298084118481E-09	-10944.056640625	1.19169698109545E-07
1	20	67.8470298287027	0.001373291015625	0.00147399902343751	1.002197265625E-06	1.47723766552588E-09	1470.76745605469	2.09188527833248E-07
1	21	67.9477378284485	0.011444091796875	0.011541748046875	1.22894287109375E-06	1.41841498546569E-08	9391.6064453125	3.21535367220349E-07
1	22	68.0484458281942	0.021514892578125	0.0216278076171875	1.44317626953125E-06	3.12127390600381E-08	14986.255859375	4.56087235534142E-07
1	23	68.1491538279399	0.031585693359375	0.031683349609375	1.6229248046875E-06	5.14196898393493E-08	19522.376953125	6.10477684404032E-07
1	24	68.2498618276857	0.041656494140625	0.0417510986328125	1.75201416015625E-06	7.31485130245346E-08	23830.34375	7.80419384227571E-07
1	25	68.3505698274314	0.051727294921875	0.051788330078125	1.82464599609375E-06	9.44953697512574E-08	28382.671875	9.60518491410767E-07
1	26	68.4512778271771	0.061798095703125	0.061798095703125	1.844482421875E-06	1.13985500149738E-07	33504.30078125	1.14527381356311E-06
1	27	68.5519858269229	0.071868896484375	0.071929931640625	1.8243408203125E-06	1.31224709321032E-07	39427.90234375	1.33001367430552E-06
1	28	68.6526938266686	0.081939697265625	0.082000732421875	1.7779541015625E-06	1.4579353546651E-07	46120.83984375	1.51140363868763E-06
1	29	68.7534018264143	0.092010498046875	0.092010498046875	1.717529296875E-06	1.58030715624591E-07	53571.4296875	1.68741519246396E-06
1	30	68.8541098261601	0.102081298828125	0.10211181640625	1.65191650390625E-06	1.68680188039616E-07	61814.15234375	1.85708029221132E-06
1	31	68.9548178259058	0.112152099609375	0.112152099609375	1.58660888671875E-06	1.77941515744351E-07	70686.671875	2.02015303329972E-06
1	32	69.0555258256516	0.122222900390625	0.122283935546875	1.52557373046875E-06	1.86553151593216E-07	80156.03125	2.17686374526238E-06
1	33	69.1562338253973	0.132293701171875	0.13232421875	1.4691162109375E-06	1.9439966081336E-07	90070.625	2.32765842156368E-06
1	34	69.256941825143	0.142364501953125	0.14239501953125	1.41754150390625E-06	2.01850852477037E-07	100452.1015625	2.47301318268001E-06
1	35	69.3576498248888	0.152435302734375	0.152496337890625	1.3720703125E-06	2.09235693660048E-07	111143.2421875	2.61348145613738E-06
1	36	69.4583578246345	0.162506103515625	0.162567138671875	1.3311767578125E-06	2.16405581454637E-07	122122.8828125	2.74960075330455E-06
1	37	69.5590658243802	0.172576904296875	0.172607421875	1.295166015625E-06	2.23555247202967E-07	133270.515625	2.88184742203157E-06
1	38	69.659773824126	0.182647705078125	0.182647705078125	1.26251220703125E-06	2.30594963568365E-07	144670.046875	3.01063687402348E-06
1	39	69.7604818238717	0.192718505859375	0.1927490234375	1.2335205078125E-06	2.37759863352949E-07	156259.28125	3.13632199322456E-06
1	40	69.8611898236175	0.202789306640625	0.202850341796875	1.20758056640625E-06	2.44958130224404E-07	167980.796875	3.25924133903754E-06
1	41	69.9618978233632	0.212860107421875	0.21295166015625	1.18408203125E-06	2.52152204893719E-07	179845.375	3.37967094310443E-06
1	42	70.0626058231089	0.222930908203125	0.22296142578125	1.1627197265625E-06	2.5924165925062E-07	191758.53125	3.49784181707946E-06
1	43	70.1633138228547	0.233001708984375	0.23297119140625	1.14349365234375E-06	2.66401059434429E-07	203736.328125	3.61396905645961E-06
1	44	70.2640218226004	0.243072509765625	0.2431640625	1.12640380859375E-06	2.73900894853796E-07	215876.46875	3.72826730199449E-06
1	45	70.3647298223461	0.253143310546875	0.25311279296875	1.11053466796875E-06	2.81090535736439E-07	227919.765625	3.84090617444599E-06
1	46	70.4654378220919	0.263214111328125	0.26312255859375	1.09619140625E-06	2.88432659090176E-07	240033.421875	3.9520236896351E-06
1	47	70.5661458218376	0.273284912109375	0.27325439453125	1.08306884765625E-06	2.95953299200846E-07	252296.4375	4.06175831813016E-06
1	48	70.6668538215833	0.283355712890625	0.2833251953125	1.07147216796875E-06	3.03575063753669E-07	264426.09375	4.17024784837849E-06
1	49	70.7675618213291	0.293426513671875	0.293365478515625	1.06109619140625E-06	3.11288999910175E-07	276473.96875	4.27763143306947E-06
1	50	70.8682698210748	0.303497314453125	0.30352783203125	1.05133056640625E-06	3.19108067969864E-07	288708.28125	4.38400047642062E-06
1	51	70.9689778208206	0.313568115234375	0.31365966796875	1.04278564453125E-06	3.27079789030904E-07	300790.1875	4.48944729214418E-06
1	52	71.0696858205663	0.323638916015625	0.3236083984375	1.03515625E-06	3.34985230665552E-07	312617.9375	4.59408011010964E-06
1	53	71.170393820312	0.333709716796875	0.33367919921875	1.02813720703125E-06	3.43067966923627E-07	324547.375	4.69797532787197E-06
1	54	71.2711018200578	0.343780517578125	0.34375	1.0223388671875E-06	3.51428980138735E-07	336238.8125	4.80122480439604E-06
1	55	71.3718098198035	0.353851318359375	0.353851318359375	1.01776123046875E-06	3.60136141352996E-07	347676.1875	4.90395223096129E-06
1	56	71.4725178195492	0.363922119140625	0.3638916015625	1.01318359375E-06	3.68689001106759E-07	359156.625	5.0062180889654E-06
1	57	71.573225819295	0.373992919921875	0.373992919921875	1.00921630859375E-06	3.77439732801577E-07	370577.59375	5.10805421072291E-06
1	58	71.6739338190407	0.384063720703125	0.384063720703125	1.00677490234375E-06	3.86665675478071E-07	381479.28125	5.2095674618613E-06
1	59	71.7746418187864	0.394134521484375	0.394195556640625	1.004638671875E-06	3.9602409174222E-07	392375.46875	5.31085015609278E-06
1	60	71.8753498185322	0.404205322265625	0.40423583984375	1.00311279296875E-06	4.05494120059302E-07	402981.46875	5.41194822289981E-06
