Potential - Start -0.2 V, Upper Vertex 1.5 V, Lower Vertex -0.2 V, Stop -0.19 V; Scan - # end cross 5, Rate 0.1 Vps, Step 0.01 V 
Scan	Index	Time (s)	Potential applied (V)	WE(1).Potential (V)	WE(1).Current (A)	WE(1).Power (W)	WE(1).Resistance (Ω)	WE(1).Charge (C)
1	1	67.0495888307161	-0.189971923828125	-0.189849853515625	-2.62451171875E-07	4.9826311965262E-08	723372.125	0
1	2	67.1502968304618	-0.179901123046875	-0.17974853515625	-2.2857666015625E-07	4.10863201238953E-08	786381.875	-2.47252138763088E-08
1	3	67.2510048302075	-0.169830322265625	-0.169647216796875	-2.02026367187499E-07	3.42732100477861E-08	839728.125	-4.64077984929645E-08
1	4	67.3517128299533	-0.159759521484375	-0.159576416015625	-1.800537109375E-07	2.87323249636984E-08	886271.25	-6.56470575677304E-08
1	5	67.452420829699	-0.149688720703125	-0.149505615234375	-1.5899658203125E-07	2.37708821515525E-08	940307.0625	-8.27195947294967E-08
1	6	67.5531288294447	-0.139617919921875	-0.1395263671875	-1.39465332031249E-07	1.9459090339069E-08	1000437.6875	-9.77483480824048E-08
1	7	67.6538368291905	-0.129547119140625	-0.129425048828125	-1.19934082031251E-07	1.55224757492078E-08	1079134.875	-1.10810141507045E-07
1	8	67.7545448289362	-0.119476318359375	-0.119384765625	-1.00097656250001E-07	1.19501342155104E-08	1192683	-1.21889627280325E-07
1	9	67.855252828682	-0.109405517578125	-0.10931396484375	-7.99560546874995E-08	8.74031336195458E-09	1367175.625	-1.30956053112641E-07
1	10	67.9559608284277	-0.099334716796875	-0.099273681640625	-5.67626953124997E-08	5.63504176653851E-09	1748924.75	-1.37840387992583E-07
1	11	68.0566688281734	-0.089263916015625	-0.0892333984375	-2.92968749999997E-08	2.61425969760865E-09	3045833.5	-1.42173831818582E-07
1	12	68.1573768279192	-0.079193115234375	-0.079132080078125	5.18798828124945E-09	-4.10536299400022E-10	-15252941	-1.43387808293483E-07
1	13	68.2580848276649	-0.069122314453125	-0.069061279296875	5.035400390625E-08	-3.4775118340491E-09	-1371515.125	-1.40591041031257E-07
1	14	68.3587928274106	-0.059051513671875	-0.0589599609375	1.09252929687501E-07	-6.44154862783353E-09	-539664.8125	-1.32554191623058E-07
1	15	68.4595008271564	-0.048980712890625	-0.048834228515625	1.873779296875E-07	-9.15045550442528E-09	-260618.890625	-1.17617645400969E-07
1	16	68.5602088269021	-0.038909912109375	-0.03875732421875	2.899169921875E-07	-1.12364064719372E-08	-133684.21875	-9.35839352678158E-08
1	17	68.6609168266478	-0.028839111328125	-0.0287078857421875	4.19921875E-07	-1.20550689430843E-08	-68364.828125	-5.78407153284388E-08
1	18	68.7616248263936	-0.018768310546875	-0.0186553955078125	5.80444335937499E-07	-1.08284172739559E-08	-32139.85546875	-7.46827666375793E-09
1	19	68.8623328261393	-0.008697509765625	-0.0086090087890625	7.6751708984375E-07	-6.60756116488415E-09	-11216.7001953125	6.04069683163289E-08
1	20	68.9630408258851	0.001373291015625	0.001446533203125	9.735107421875E-07	1.40821565519644E-09	1485.89343261719	1.48074690287103E-07
1	21	69.0637488256308	0.011444091796875	0.011553955078125	1.18194580078125E-06	1.36561482122488E-08	9775.3681640625	2.56610547921809E-07
1	22	69.1644568253765	0.021514892578125	0.02158203125	1.37237548828125E-06	2.9618650643215E-08	15726.0400390625	3.85230833899186E-07
1	23	69.2651648251223	0.031585693359375	0.031683349609375	1.52618408203125E-06	4.8354621640101E-08	20759.84765625	5.31184923602268E-07
1	24	69.365872824868	0.041656494140625	0.041754150390625	1.630859375E-06	6.80951401932361E-08	25602.544921875	6.90154649873875E-07
1	25	69.4665808246137	0.051727294921875	0.05181884765625	1.683349609375E-06	8.72292318376822E-08	30783.177734375	8.5703834429296E-07
1	26	69.5672888243595	0.061798095703125	0.061859130859375	1.6888427734375E-06	1.04470345263508E-07	36628.1171875	1.02684168723499E-06
1	27	69.6679968241052	0.071868896484375	0.071868896484375	1.6607666015625E-06	1.19357451922042E-07	43274.53125	1.19550793442613E-06
1	28	69.768704823851	0.081939697265625	0.082000732421875	1.61163330078125E-06	1.32155108190091E-07	50880.515625	1.36028631914087E-06
1	29	69.8694128235967	0.092010498046875	0.092071533203125	1.5521240234375E-06	1.4290642980086E-07	59319.703125	1.51959420691128E-06
