Potential - Start 1.505 V, Stop -0.205 V, Step -0.005 V; Modulation - Amplitude -0.05 V, Time 0.025 s, Interval time 0.05 s
Index	Base.Time (s)	Potential applied (V)	WE(1).Base.Potential (V)	WE(1).Base.Current (A)	WE(1).Pulse.Current (A)	WE(1).δ.Current (A)	WE(1).Base.Power (W)	WE(1).Base.Resistance (Ω)	WE(1).Base.Charge (C)
1	146.439308630276	1.50497436523438	1.505126953125	1.66229248046875E-06	1.2078857421875E-06	-4.54406738281249E-07	2.50196126216906E-06	905452.5625	0
2	146.48930863015	1.49993896484375	1.49993896484375	1.77032470703125E-06	1.23016357421875E-06	-5.401611328125E-07	2.65537892119028E-06	847267.75	8.58154294292035E-08
3	146.539308630024	1.49490356445313	1.495361328125	1.7706298828125E-06	1.226806640625E-06	-5.43823242187499E-07	2.64773143499042E-06	844536.375	1.74339291447723E-07
4	146.589308629898	1.4898681640625	1.48956298828125	1.76239013671875E-06	1.2188720703125E-06	-5.4351806640625E-07	2.62519097304903E-06	845194.8125	2.62664798356127E-07
5	146.639308629771	1.48483276367188	1.484375	1.7535400390625E-06	1.21063232421875E-06	-5.4290771484375E-07	2.60291085396602E-06	846501.9375	3.50563027495809E-07
6	146.689308629645	1.47979736328125	1.4801025390625	1.74285888671875E-06	1.20025634765625E-06	-5.42602539062499E-07	2.57960982708028E-06	849238.3125	4.37973000089187E-07
7	146.739308629519	1.47476196289063	1.474609375	1.73248291015625E-06	1.1907958984375E-06	-5.4168701171875E-07	2.55473537436046E-06	851153.8125	5.24856545780494E-07
8	146.789308629393	1.4697265625	1.4697265625	1.7218017578125E-06	1.180419921875E-06	-5.41381835937499E-07	2.53057760346564E-06	853598.0625	6.11213692991441E-07
9	146.839308629266	1.46469116210938	1.46453857421875	1.71234130859375E-06	1.170654296875E-06	-5.4168701171875E-07	2.50778975896537E-06	855284.3125	6.970672643547E-07
10	146.88930862914	1.45965576171875	1.46026611328125	1.702880859375E-06	1.160888671875E-06	-5.419921875E-07	2.48665924118541E-06	857526.9375	7.824477847862E-07
11	146.939308629014	1.45462036132813	1.4544677734375	1.6937255859375E-06	1.1517333984375E-06	-5.419921875E-07	2.46346917265328E-06	858738.8125	8.67362928147486E-07
12	146.989308628888	1.4495849609375	1.4495849609375	1.68487548828125E-06	1.14227294921875E-06	-5.42602539062499E-07	2.44237003244052E-06	860351.4375	9.51827985318232E-07
13	147.039308628761	1.44454956054688	1.444091796875	1.6754150390625E-06	1.13311767578125E-06	-5.4229736328125E-07	2.4194530396926E-06	861930.8125	1.03583522559347E-06
14	147.089308628635	1.43951416015625	1.439208984375	1.66717529296875E-06	1.12396240234375E-06	-5.43212890625E-07	2.39941368818108E-06	863261.9375	1.11939993985288E-06
15	147.139308628509	1.43447875976563	1.434326171875	1.65924072265625E-06	1.11419677734375E-06	-5.450439453125E-07	2.37989229390223E-06	864447.375	1.20256038371735E-06
16	147.189308628383	1.429443359375	1.42974853515625	1.65130615234375E-06	1.10595703125E-06	-5.45349121093749E-07	2.36095252148516E-06	865828.875	1.28532406051818E-06
17	147.239308628256	1.42440795898438	1.42425537109375	1.6436767578125E-06	1.09710693359375E-06	-5.4656982421875E-07	2.34101526075392E-06	866505.8125	1.36769858727348E-06
18	147.28930862813	1.41937255859375	1.4190673828125	1.63665771484375E-06	1.08856201171875E-06	-5.48095703125001E-07	2.32252750720363E-06	867052.0625	1.44970692872448E-06
19	147.339308628004	1.41433715820313	1.41387939453125	1.6290283203125E-06	1.07940673828125E-06	-5.49621582031251E-07	2.3032494027575E-06	867928.125	1.53134908487118E-06
20	147.389308627878	1.4093017578125	1.409912109375	1.6217041015625E-06	1.0711669921875E-06	-5.50537109375E-07	2.28646013056277E-06	869401.5625	1.61261743869545E-06
21	147.439308627752	1.40426635742188	1.40472412109375	1.614990234375E-06	1.06292724609375E-06	-5.52062988281249E-07	2.26861561714031E-06	869803.5	1.69353484125168E-06
22	147.489308627625	1.39923095703125	1.39892578125	1.60797119140625E-06	1.05438232421875E-06	-5.535888671875E-07	2.24943232751684E-06	869994.3125	1.77410879587114E-06
23	147.539308627499	1.39419555664063	1.39434814453125	1.60125732421875E-06	1.046142578125E-06	-5.55114746093749E-07	2.23271013055637E-06	870783.3125	1.85433952992753E-06
24	147.589308627373	1.38916015625	1.38946533203125	1.5948486328125E-06	1.03729248046875E-06	-5.57556152343749E-07	2.21598679672752E-06	871220.8125	1.93424216377025E-06
25	147.639308627247	1.38412475585938	1.38397216796875	1.5887451171875E-06	1.0296630859375E-06	-5.59082031249999E-07	2.1987789295963E-06	871110.3125	2.0138320451224E-06
26	147.68930862712	1.37908935546875	1.3787841796875	1.58233642578125E-06	1.02142333984375E-06	-5.609130859375E-07	2.18170043808641E-06	871359.6875	2.09310906029714E-06
27	147.739308626994	1.37405395507813	1.37359619140625	1.5765380859375E-06	1.01409912109375E-06	-5.62438964843749E-07	2.16552666643111E-06	871273.75	2.17208093999943E-06
28	147.789308626868	1.3690185546875	1.36932373046875	1.571044921875E-06	1.00616455078125E-06	-5.64880371093751E-07	2.15126897273876E-06	871600.625	2.25077042159683E-06
29	147.839308626742	1.36398315429688	1.3641357421875	1.56494140625E-06	9.9761962890625E-07	-5.6732177734375E-07	2.13479256672144E-06	871684.875	2.32917022913171E-06
30	147.889308626615	1.35894775390625	1.35833740234375	1.55914306640625E-06	9.89990234375E-07	-5.6915283203125E-07	2.1178423139645E-06	871207.6875	2.40727217715175E-06
31	147.939308626489	1.35391235351563	1.35406494140625	1.55364990234375E-06	9.82666015625E-07	-5.7098388671875E-07	2.10374287235027E-06	871538	2.48509218181425E-06
32	147.989308626363	1.348876953125	1.348876953125	1.5478515625E-06	9.74426269531251E-07	-5.73425292968749E-07	2.08786127586791E-06	871451.125	2.56262956099818E-06
33	148.039308626237	1.34384155273438	1.34368896484375	1.54266357421875E-06	9.66796875000001E-07	-5.7586669921875E-07	2.07286007025687E-06	871018.8125	2.63989250015584E-06
34	148.08930862611	1.33880615234375	1.33941650390625	1.5374755859375E-06	9.59167480468751E-07	-5.7830810546875E-07	2.0593201952579E-06	871179.0625	2.71689600594982E-06
35	148.139308625984	1.33377075195313	1.33331298828125	1.531982421875E-06	9.51232910156249E-07	-5.80749511718751E-07	2.0426120954653E-06	870318.6875	2.79363234767516E-06
36	148.189308625858	1.3287353515625	1.32904052734375	1.52679443359375E-06	9.43908691406251E-07	-5.828857421875E-07	2.02917181013618E-06	870477.6875	2.87010175270552E-06
37	148.239308625732	1.32369995117188	1.32354736328125	1.52191162109375E-06	9.36279296875001E-07	-5.85632324218749E-07	2.01432203539298E-06	869661.125	2.94631945507717E-06
38	148.289308625605	1.31866455078125	1.318359375	1.5167236328125E-06	9.28955078125E-07	-5.877685546875E-07	1.99958685698221E-06	869215.3125	3.02228545479011E-06
39	148.339308625479	1.31362915039063	1.31317138671875	1.51214599609375E-06	9.2132568359375E-07	-5.908203125E-07	1.98570683096477E-06	868415.75	3.09800702780194E-06
40	148.389308625353	1.30859375	1.30828857421875	1.507568359375E-06	9.136962890625E-07	-5.938720703125E-07	1.97233430299093E-06	867813.8125	3.17350009026995E-06
41	148.439308625227	1.30355834960938	1.30340576171875	1.50238037109375E-06	9.0606689453125E-07	-5.963134765625E-07	1.95821121451445E-06	867560.4375	3.24874872603687E-06
42	148.489308625101	1.29852294921875	1.298828125	1.49810791015625E-06	8.9874267578125E-07	-5.99365234375E-07	1.94578456103045E-06	866979.0625	3.32376089318132E-06
43	148.539308624974	1.29348754882813	1.2933349609375	1.4935302734375E-06	8.9141845703125E-07	-6.02111816406251E-07	1.93163486983394E-06	865958.3125	3.39855182573956E-06
44	148.589308624848	1.2884521484375	1.28875732421875	1.4886474609375E-06	8.84094238281249E-07	-6.04553222656251E-07	1.91850517694547E-06	865723.6875	3.47310628967534E-06
45	148.639308624722	1.28341674804688	1.28326416015625	1.484375E-06	8.7615966796875E-07	-6.08215332031251E-07	1.90484513495903E-06	864514.8125	3.54743178831995E-06
46	148.689308624596	1.27838134765625	1.278076171875	1.4794921875E-06	8.6822509765625E-07	-6.11267089843751E-07	1.89090371804923E-06	863861.375	3.62152854904707E-06
47	148.739308624469	1.27334594726563	1.273193359375	1.4752197265625E-06	8.612060546875E-07	-6.14013671875001E-07	1.87823991382174E-06	863053.375	3.69539634448302E-06
48	148.789308624343	1.268310546875	1.26800537109375	1.47125244140625E-06	8.53271484375E-07	-6.1798095703125E-07	1.86555598702398E-06	861854.4375	3.76905813936901E-06
49	148.839308624217	1.26327514648438	1.2628173828125	1.46759033203125E-06	8.4564208984375E-07	-6.21948242187501E-07	1.85329861324135E-06	860469.9375	3.8425291677413E-06
50	148.889308624091	1.25823974609375	1.25823974609375	1.46331787109375E-06	8.3770751953125E-07	-6.256103515625E-07	1.84120472113136E-06	859854	3.91580169889494E-06
51	148.939308623964	1.25320434570313	1.253662109375	1.45965576171875E-06	8.2977294921875E-07	-6.298828125E-07	1.82991516339825E-06	858875.1875	3.98887641495094E-06
52	148.989308623838	1.2481689453125	1.24755859375	1.455078125E-06	8.21838378906251E-07	-6.3323974609375E-07	1.81529514975409E-06	857382.5625	4.06174467570963E-06
53	149.039308623712	1.24313354492188	1.24298095703125	1.4508056640625E-06	8.13903808593749E-07	-6.36901855468751E-07	1.80332369836833E-06	856752.25	4.13439147450845E-06
54	149.089308623586	1.23809814453125	1.2384033203125	1.44744873046875E-06	8.056640625E-07	-6.41784667968751E-07	1.79252526777418E-06	855576.6875	4.20684818891459E-06
55	149.139308623459	1.23306274414063	1.23291015625	1.4434814453125E-06	7.97119140624999E-07	-6.46362304687501E-07	1.77968297521147E-06	854122.625	4.27912118539098E-06
