Potential - Start -0.2 V, Upper Vertex 1.5 V, Lower Vertex -0.2 V, Stop -0.19 V; Scan - # end cross 5, Rate 0.1 Vps, Step 0.01 V 
Scan	Index	Time (s)	Potential applied (V)	WE(1).Potential (V)	WE(1).Current (A)	WE(1).Power (W)	WE(1).Resistance (Ω)	WE(1).Charge (C)
1	1	66.7335858315139	-0.189971923828125	-0.189849853515625	-2.21862792968749E-07	4.21206181044909E-08	855708.375	0
1	2	66.8342938312596	-0.179901123046875	-0.1796875	-1.87072753906251E-07	3.36146328550058E-08	960522.0625	-2.05915391404687E-08
1	3	66.9350018310054	-0.169830322265625	-0.169647216796875	-1.6021728515625E-07	2.71804161400269E-08	1058857.125	-3.80789835219275E-08
1	4	67.0357098307511	-0.159759521484375	-0.15966796875	-1.3702392578125E-07	2.18783302585734E-08	1165256.25	-5.30462642700513E-08
1	5	67.1364178304968	-0.149688720703125	-0.14959716796875	-1.1627197265625E-07	1.73939582737148E-08	1286614.25	-6.58007266451932E-08
1	6	67.2371258302426	-0.139617919921875	-0.1395263671875	-9.70458984375006E-08	1.35404620849044E-08	1437735.875	-7.65421361847984E-08
1	7	67.3378338299883	-0.129547119140625	-0.129486083984375	-7.81249999999997E-08	1.01160999577132E-08	1657421.875	-8.53626929142592E-08
1	8	67.438541829734	-0.119476318359375	-0.119354248046875	-5.88989257812506E-08	7.02983671274637E-09	2026425	-9.22623897281483E-08
1	9	67.5392498294798	-0.109405517578125	-0.109283447265625	-3.87573242187494E-08	4.23553414563571E-09	2819685	-9.71797717852496E-08
1	10	67.6399578292255	-0.099334716796875	-0.09930419921875	-1.52587890625E-08	1.51526169389626E-09	6508000.5	-9.98997009560298E-08
1	11	67.7406658289713	-0.089263916015625	-0.0892333984375	1.28173828124994E-08	-1.14373865933715E-09	-6961905	-1.00022639060171E-07
1	12	67.841373828717	-0.079193115234375	-0.0791015625	4.69970703125003E-08	-3.71754160788385E-09	-1683116.875	-9.70107407738396E-08
1	13	67.9420818284627	-0.069122314453125	-0.069061279296875	9.09423828125006E-08	-6.28059693141836E-09	-759396	-9.00649368418271E-08
1	14	68.0427898282085	-0.059051513671875	-0.058929443359375	1.48620605468749E-07	-8.75812933287534E-09	-396509.25	-7.80019817625544E-08
1	15	68.1434978279542	-0.048980712890625	-0.0487945556640625	2.25830078125E-07	-1.10192788227437E-08	-216067.578125	-5.91468918287319E-08
1	16	68.2442058276999	-0.038909912109375	-0.0387451171875	3.277587890625E-07	-1.26990524762505E-08	-118212.2890625	-3.12714796280034E-08
1	17	68.3449138274457	-0.028839111328125	-0.0287139892578125	4.59899902343749E-07	-1.32055610890802E-08	-62435.3046875	8.39028579946444E-09
1	18	68.4456218271914	-0.018768310546875	-0.0186553955078125	6.2530517578125E-07	-1.16653149362378E-08	-29834.064453125	6.30347045671442E-08
1	19	68.5463298269372	-0.008697509765625	-0.00861511230468751	8.221435546875E-07	-7.08285874395642E-09	-10478.841796875	1.35919535182438E-07
1	20	68.6470378266829	0.001373291015625	0.00150451660156251	1.04034423828125E-06	1.56521506866625E-09	1446.17199707031	2.29703232434986E-07
1	21	68.7477458264286	0.011444091796875	0.011578369140625	1.263427734375E-06	1.46284326874024E-08	9164.2509765625	3.45707377391591E-07
1	22	68.8484538261744	0.021514892578125	0.021612548828125	1.4697265625E-06	3.17645358904883E-08	14705.150390625	4.83332598832931E-07
1	23	68.9491618259201	0.031585693359375	0.031658935546875	1.63665771484375E-06	5.18148404182739E-08	19343.65234375	6.39751476683159E-07
1	24	69.0498698256658	0.041656494140625	0.041729736328125	1.75201416015625E-06	7.31110887386421E-08	23818.15234375	8.1038467669714E-07
1	25	69.1505778254116	0.051727294921875	0.051788330078125	1.81121826171875E-06	9.37999686811963E-08	28593.091796875	9.89807631412987E-07
1	26	69.2512858251573	0.061798095703125	0.0618896484375	1.82098388671875E-06	1.12700050181047E-07	33986.9296875	1.17270360533439E-06
1	27	69.351993824903	0.071868896484375	0.071868896484375	1.79412841796875E-06	1.28942019728129E-07	40057.8359375	1.35473896989424E-06
1	28	69.4527018246488	0.081939697265625	0.08197021484375	1.74468994140625E-06	1.43012613307292E-07	46982.68359375	1.53293262883381E-06
1	29	69.5534098243945	0.092010498046875	0.09210205078125	1.68365478515625E-06	1.5506805084442E-07	54703.64453125	1.70556347711681E-06
1	30	69.6541178241403	0.102081298828125	0.102142333984375	1.61865234375E-06	1.65332920687433E-07	63103.3203125	1.87184787137085E-06
1	31	69.754825823886	0.112152099609375	0.1121826171875	1.55426025390625E-06	1.74360977212018E-07	72177.5	2.03161675926822E-06
1	32	69.8555338236317	0.122222900390625	0.122283935546875	1.4947509765625E-06	1.82784020807958E-07	81808.90625	2.18514651351143E-06
1	33	69.9562418233775	0.132293701171875	0.132415771484375	1.4398193359375E-06	1.90654773746246E-07	91966.9375	2.33291393669788E-06
1	34	70.0569498231232	0.142364501953125	0.142425537109375	1.39068603515625E-06	1.9806918771792E-07	102413.875	2.47544107878639E-06
1	35	70.1576578228689	0.152435302734375	0.152496337890625	1.34613037109375E-06	2.0527994593067E-07	113284.96875	2.61325089923048E-06
1	36	70.2583658226147	0.162506103515625	0.162506103515625	1.3067626953125E-06	2.12356908946276E-07	124357.78125	2.74683452516911E-06
1	37	70.3590738223604	0.172576904296875	0.172607421875	1.2713623046875E-06	2.19446562255143E-07	135765.71875	2.87665352516342E-06
1	38	70.4597818221062	0.182647705078125	0.182708740234375	1.240234375E-06	2.26601656549974E-07	147317.90625	3.00312240142375E-06
1	39	70.5604898218519	0.192718505859375	0.192718505859375	1.2115478515625E-06	2.33487682521627E-07	159068.015625	3.12657948597916E-06
1	40	70.6611978215976	0.202789306640625	0.202789306640625	1.1865234375E-06	2.4061424142019E-07	170910.5	3.24733196066518E-06
1	41	70.7619058213434	0.212860107421875	0.212860107421875	1.163330078125E-06	2.47626559257696E-07	182974.828125	3.36565653924481E-06
1	42	70.8626138210891	0.222930908203125	0.22296142578125	1.14288330078125E-06	2.54818900202736E-07	195086.78125	3.48178355125128E-06
1	43	70.9633218208348	0.233001708984375	0.2330322265625	1.12396240234375E-06	2.61919467448024E-07	207330.984375	3.59592831955524E-06
1	44	71.0640298205806	0.243072509765625	0.2430419921875	1.10748291015625E-06	2.6916484330286E-07	219454.40625	3.70829047824373E-06
1	45	71.1647378203263	0.253143310546875	0.253143310546875	1.0919189453125E-06	2.76411952881972E-07	231833.4375	3.81903919333126E-06
1	46	71.265445820072	0.263214111328125	0.263275146484375	1.07757568359375E-06	2.83698909697705E-07	244321.71875	3.92828178519267E-06
1	47	71.3661538198178	0.273284912109375	0.273284912109375	1.06475830078125E-06	2.90982370643178E-07	256663.796875	4.03615695176995E-06
1	48	71.4668618195635	0.283355712890625	0.283416748046875	1.05316162109375E-06	2.98483627148016E-07	269110.40625	4.14280248151044E-06
1	49	71.5675698193093	0.293426513671875	0.293426513671875	1.04248046875E-06	3.05891404650538E-07	281469.5625	4.24832660428365E-06
1	50	71.668277819055	0.303497314453125	0.30352783203125	1.03302001953125E-06	3.13550316377587E-07	293825.71875	4.35283618571702E-06
1	51	71.7689858188007	0.313568115234375	0.313629150390625	1.02447509765625E-06	3.21305236639091E-07	306136.4375	4.45643945568008E-06
1	52	71.8696938185465	0.323638916015625	0.323699951171875	1.0162353515625E-06	3.28955309214507E-07	318528.5625	4.55919735031785E-06
1	53	71.9704018182922	0.333709716796875	0.333740234375	1.00982666015625E-06	3.37019770313418E-07	330492.59375	4.66121764475247E-06
1	54	72.0711098180379	0.343780517578125	0.343841552734375	1.00341796875E-06	3.45016786695851E-07	342670.3125	4.76259265269618E-06
1	55	72.1718178177837	0.353851318359375	0.3538818359375	9.9822998046875E-07	3.5325547287357E-07	354509.3125	4.86338376504136E-06
1	56	72.2725258175294	0.363922119140625	0.363922119140625	9.93957519531249E-07	3.61723124342461E-07	366134.46875	4.96369830216281E-06
1	57	72.3732338172751	0.373992919921875	0.373992919921875	9.91210937500001E-07	3.7070583402965E-07	377309.125	5.06365950059262E-06
1	58	72.4739418170209	0.384063720703125	0.38409423828125	9.8846435546875E-07	3.79663447347411E-07	388576.75	5.16334421263309E-06
1	59	72.5746498167666	0.394134521484375	0.394195556640625	9.8724365234375E-07	3.8916707012504E-07	399289.03125	5.26282883583917E-06
1	60	72.6753578165124	0.404205322265625	0.404205322265625	9.85107421875001E-07	3.9818564800953E-07	410316	5.36214474777807E-06
1	61	72.7760658162581	0.414276123046875	0.41424560546875	9.8419189453125E-07	4.07697143600672E-07	420899.25	5.46130650036503E-06
1	62	72.8767738160038	0.424346923828125	0.42431640625	9.83581542968751E-07	4.17349809822554E-07	431399.3125	5.56039185539703E-06
1	63	72.9774818157496	0.434417724609375	0.434356689453125	9.8388671875E-07	4.27357775834025E-07	441470.21875	5.6594617490191E-06
1	64	73.0781898154953	0.444488525390625	0.444549560546875	9.8419189453125E-07	4.37522061247364E-07	451689.9375	5.75856256546103E-06
1	65	73.178897815241	0.454559326171875	0.45452880859375	9.844970703125E-07	4.47482278786993E-07	461686.28125	5.85769384997548E-06
1	66	73.2796058149868	0.464630126953125	0.464630126953125	9.8602294921875E-07	4.58135929193304E-07	471216.375	5.95691744820215E-06
1	67	73.3803138147325	0.474700927734375	0.4747314453125	9.88159179687501E-07	4.69110233325409E-07	480420.03125	6.05632521910593E-06
1	68	73.4810218144783	0.484771728515625	0.484710693359375	9.906005859375E-07	4.80154710658098E-07	489309.90625	6.15596400166396E-06
1	69	73.581729814224	0.494842529296875	0.494842529296875	9.9365234375E-07	4.91701428018132E-07	498003.71875	6.25587881586398E-06
1	70	73.6824378139697	0.504913330078125	0.50494384765625	9.9761962890625E-07	5.03741887314391E-07	506148.6875	6.35614742350299E-06
1	71	73.7831458137155	0.514984130859375	0.5150146484375	1.00250244140625E-06	5.16303430231346E-07	513729.0625	6.45686168354587E-06
1	72	73.8838538134612	0.525054931640625	0.5250244140625	1.00860595703125E-06	5.29542774074798E-07	520544.625	6.55812891636742E-06
1	73	73.9845618132069	0.535125732421875	0.535186767578125	1.01715087890625E-06	5.44365718724293E-07	526162.625	6.66013374939212E-06
1	74	74.0852698129527	0.545196533203125	0.545196533203125	1.026611328125E-06	5.59704972147301E-07	531064.1875	6.76304534863448E-06
1	75	74.1859778126984	0.555267333984375	0.555206298828125	1.03973388671875E-06	5.77266803247767E-07	533988.875	6.86709427100141E-06
1	76	74.2866858124441	0.565338134765625	0.5654296875	1.05712890625E-06	5.97732082496805E-07	534873	6.97267978466698E-06
1	77	74.3873938121899	0.575408935546875	0.575439453125	1.08001708984375E-06	6.21484446128306E-07	532805.875	7.08029347151751E-06
1	78	74.4881018119356	0.585479736328125	0.585479736328125	1.112060546875E-06	6.51088896574947E-07	526481.875	7.19067338650348E-06
1	79	74.5888098116814	0.595550537109375	0.59552001953125	1.1566162109375E-06	6.88788134084461E-07	514881.25	7.30491046851967E-06
1	80	74.6895178114271	0.605621337890625	0.6055908203125	1.219482421875E-06	7.38507367259444E-07	496596.59375	7.4245563155273E-06
1	81	74.7902258111728	0.615692138671875	0.61566162109375	1.30584716796875E-06	8.03959949280397E-07	471465.3125	7.55171686250833E-06
1	82	74.8909338109186	0.625762939453125	0.625823974609375	1.42303466796875E-06	8.90569197053992E-07	439781.28125	7.68912650528364E-06
1	83	74.9916418106643	0.635833740234375	0.635894775390625	1.57318115234375E-06	1.00037766515015E-06	404209.53125	7.83999803388724E-06
1	84	75.09234981041	0.645904541015625	0.6458740234375	1.7572021484375E-06	1.13493115350138E-06	367558.1875	8.00769612396834E-06
1	85	75.1930578101558	0.655975341796875	0.655914306640625	1.96807861328125E-06	1.29089085021405E-06	333276.5	8.19527940620901E-06
1	86	75.2937658099015	0.666046142578125	0.665924072265625	2.1917724609375E-06	1.45955402786058E-06	303829.03125	8.40474422147963E-06
1	87	75.3944738096473	0.676116943359375	0.676025390625	2.4072265625E-06	1.62734625064331E-06	280831.65625	8.63632249092916E-06
1	88	75.495181809393	0.686187744140625	0.6861572265625	2.59368896484375E-06	1.77967831405113E-06	264548.78125	8.88813883648254E-06
1	89	75.5958898091387	0.696258544921875	0.696136474609375	2.7337646484375E-06	1.90307332559314E-06	254643.890625	9.15639702725457E-06
1	90	75.6965978088845	0.706329345703125	0.706298828125	2.81982421875E-06	1.99163855540974E-06	250476.1875	9.4360420916928E-06
1	91	75.7973058086302	0.716400146484375	0.71630859375	2.85491943359375E-06	2.04500315703626E-06	250903.265625	9.72178895608522E-06
1	92	75.8980138083759	0.726470947265625	0.726348876953125	2.85064697265625E-06	2.07056427825592E-06	254801.40625	1.00090865089442E-05
1	93	75.9987218081217	0.736541748046875	0.736419677734375	2.8228759765625E-06	2.07882135327964E-06	260875.671875	1.02947715276969E-05
1	94	76.0994298078674	0.746612548828125	0.74658203125	2.78472900390625E-06	2.07902849069797E-06	268098.65625	1.05771368907881E-05
1	95	76.2001378076131	0.756683349609375	0.75714111328125	2.74932861328125E-06	2.08162964554504E-06	275391.28125	1.08557987914537E-05
1	96	76.3008458073589	0.766754150390625	0.7672119140625	2.72705078125E-06	2.09222571356804E-06	281333.9375	1.11315557660419E-05
1	97	76.4015538071046	0.776824951171875	0.77667236328125	2.72552490234375E-06	2.11683982342947E-06	284962.5	1.14061149361078E-05
1	98	76.5022618068504	0.786895751953125	0.78643798828125	2.752685546875E-06	2.1648165784427E-06	285698.4375	1.16819646791555E-05
1	99	76.6029698065961	0.796966552734375	0.79742431640625	2.81280517578125E-06	2.24299924411753E-06	283497.875	1.19622100100969E-05
1	100	76.7036778063418	0.807037353515625	0.80718994140625	2.9095458984375E-06	2.3485561087E-06	277428.15625	1.22503524835338E-05
1	101	76.8043858060876	0.817108154296875	0.81695556640625	3.03924560546875E-06	2.48292849391873E-06	268802.09375	1.25498982015415E-05
1	102	76.9050938058333	0.827178955078125	0.82733154296875	3.1939697265625E-06	2.64247182713007E-06	259029.25	1.2863765732618E-05
1	103	77.005801805579	0.837249755859375	0.83740234375	3.35723876953125E-06	2.81135953628109E-06	249431.875	1.31936449179193E-05
1	104	77.1065098053248	0.847320556640625	0.84747314453125	3.5089111328125E-06	2.97370797852636E-06	241520.265625	1.35393829623354E-05
1	105	77.2072178050705	0.857391357421875	0.85723876953125	3.63067626953125E-06	3.11235635308549E-06	236109.9375	1.38988898470416E-05
1	106	77.3079258048163	0.867462158203125	0.8673095703125	3.7127685546875E-06	3.22011965181446E-06	233601.859375	1.42686621984467E-05
1	107	77.408633804562	0.877532958984375	0.877685546875	3.74755859375E-06	3.28917803926743E-06	234201.953125	1.46443189805723E-05
1	108	77.5093418043077	0.887603759765625	0.887451171875	3.743896484375E-06	3.32252511725528E-06	237039.46875	1.50215437315637E-05
1	109	77.6100498040535	0.897674560546875	0.8978271484375	3.71124267578125E-06	3.33205434799311E-06	241920.90625	1.53969394887099E-05
1	110	77.7107578037992	0.907745361328125	0.908203125	3.66424560546875E-06	3.32787908519094E-06	247855.421875	1.57683243742213E-05
1	111	77.8114658035449	0.917816162109375	0.91796875	3.6126708984375E-06	3.31631895278406E-06	254096.984375	1.61347470566398E-05
