Potential - Start -0.205 V, Stop 1.505 V, Step 0.005 V; Modulation - Amplitude 0.05 V, Time 0.025 s, Interval time 0.05 s
Index	Base.Time (s)	Potential applied (V)	WE(1).Base.Potential (V)	WE(1).Base.Current (A)	WE(1).Pulse.Current (A)	WE(1).δ.Current (A)	WE(1).Base.Power (W)	WE(1).Base.Resistance (Ω)	WE(1).Base.Charge (C)
1	140.626361644953	-0.204925537109375		-4.67529296874999E-07	2.960205078125E-07	7.63549804687499E-07	9.57658841116427E-08	438120.125	0
2	140.676361644826	-0.19989013671875		-6.88781738281249E-07	2.63366699218751E-07	9.521484375E-07	1.37596586569089E-07	290031.03125	-2.89077739523691E-08
3	140.7263616447	-0.194854736328125		-6.9122314453125E-07	2.70996093750001E-07	9.6221923828125E-07	1.34645915750298E-07	281810.15625	-6.34078958228201E-08
4	140.776361644574	-0.1898193359375		-6.81457519531251E-07	2.8564453125E-07	9.6710205078125E-07	1.2924982684126E-07	278325.125	-9.77249143829795E-08
5	140.826361644448	-0.184783935546875		-6.695556640625E-07	3.021240234375E-07	9.716796875E-07	1.23661834550148E-07	275843.21875	-1.31500243583105E-07
6	140.876361644321	-0.17974853515625		-6.5887451171875E-07	3.192138671875E-07	9.7808837890625E-07	1.18351302091924E-07	272626.21875	-1.64710996841677E-07
7	140.926361644195	-0.174713134765625		-6.47888183593751E-07	3.36608886718751E-07	9.84497070312501E-07	1.131352576067E-07	269524.28125	-1.97380060740215E-07
8	140.976361644069	-0.169677734375		-6.38732910156251E-07	3.56140136718749E-07	9.94873046875E-07	1.08300781676007E-07	265456.28125	-2.2954559142363E-07
9	141.026361643943	-0.164642333984375		-6.298828125E-07	3.765869140625E-07	1.0064697265625E-06	1.03628480019324E-07	261191.875	-2.6126099328394E-07
10	141.076361643816	-0.15960693359375		-6.23168945312499E-07	3.9794921875E-07	1.0211181640625E-06	9.94240494378573E-08	256023.5	-2.92587259309585E-07
11	141.12636164369	-0.154571533203125		-6.16455078125E-07	4.21752929687499E-07	1.0382080078125E-06	9.521114918698E-08	250544.5625	-3.23577864946856E-07
