Potential - Start -0.5 V, Upper Vertex 1.5 V, Lower Vertex -0.5 V, Stop -0.49 V; Scan - # end cross 5, Rate 0.1 Vps, Step 0.005 V 
Scan	Index	Time (s)	Potential applied (V)	WE(1).Potential (V)	WE(1).Current (A)	WE(1).Power (W)	WE(1).Resistance (Ω)	WE(1).Charge (C)
1	1	67.9305508284918	-0.4949951171875	-0.495025634765625	-5.5419921875E-07	2.74342824013729E-07	893226.875	0
1	2	67.9809048283647	-0.489959716796875	-0.490142822265625	-4.98046875E-07	2.44114090719449E-07	984129.9375	-2.64923993853472E-08
1	3	68.0312588282376	-0.48492431640625	-0.484832763671875	-4.534912109375E-07	2.19867388295825E-07	1069111.75	-5.04492732034123E-08
1	4	68.0816128281105	-0.479888916015625	-0.47998046875	-4.15954589843751E-07	1.99650074250712E-07	1153925.125	-7.23393114299142E-08
1	5	68.1319668279833	-0.474853515625	-0.474822998046875	-3.814697265625E-07	1.81130587861844E-07	1244720.125	-9.24160588056111E-08
1	6	68.1823208278562	-0.469818115234375	-0.4698486328125	-3.5552978515625E-07	1.67045186572068E-07	1321545.125	-1.10971498656909E-07
1	7	68.2326748277291	-0.46478271484375	-0.464752197265625	-3.27148437499999E-07	1.52042943568631E-07	1420615.75	-1.28159285850415E-07
1	8	68.2830288276019	-0.459747314453125	-0.459747314453125	-3.0548095703125E-07	1.40444043950083E-07	1504995.125	-1.44086996556325E-07
1	9	68.3333828274748	-0.4547119140625	-0.454803466796875	-2.8076171875E-07	1.27691407669772E-07	1619891.25	-1.5884683080003E-07
1	10	68.3837368273477	-0.449676513671875	-0.44964599609375	-2.64892578125001E-07	1.19107887996961E-07	1697465.5	-1.72584762481165E-07
1	11	68.4340908272205	-0.44464111328125	-0.444732666015625	-2.4444580078125E-07	1.08713031465868E-07	1819350.875	-1.85408381980778E-07
1	12	68.4844448270934	-0.439605712890625	-0.4395751953125	-2.29492187499999E-07	1.00879070430437E-07	1915425.5	-1.97340710883509E-07
1	13	68.5347988269663	-0.4345703125	-0.434814453125	-2.1209716796875E-07	9.22229119737494E-08	2050072	-2.08458615702511E-07
1	14	68.5851528268391	-0.429534912109375	-0.42938232421875	-2.00805664062501E-07	8.62223998865375E-08	2138298	-2.18854268041468E-07
1	15	68.635506826712	-0.42449951171875	-0.42474365234375	-1.861572265625E-07	7.90690961594009E-08	2281639.5	-2.28596832130279E-07
1	16	68.6858608265849	-0.419464111328125	-0.41943359375	-1.7425537109375E-07	7.30885503230638E-08	2407005.5	-2.37670931824141E-07
1	17	68.7362148264577	-0.4144287109375	-0.41461181640625	-1.617431640625E-07	6.70606254971062E-08	2563396.25	-2.46130383629861E-07
1	18	68.7865688263306	-0.409393310546875	-0.40924072265625	-1.5228271484375E-07	6.23202893734742E-08	2687374.75	-2.54036592650664E-07
1	19	68.8369228262035	-0.40435791015625	-0.404632568359375	-1.40991210937499E-07	5.70496325735803E-08	2869913.5	-2.61420353808717E-07
1	20	68.8872768260763	-0.399322509765625	-0.39923095703125	-1.33361816406249E-07	5.32421609023004E-08	2993592.75	-2.68327738695007E-07
1	21	68.9376308259492	-0.394287109375	-0.394500732421875	-1.23291015625E-07	4.86383946451951E-08	3199752.5	-2.74789499599137E-07
1	22	68.9879848258221	-0.389251708984375	-0.389251708984375	-1.1566162109375E-07	4.50214834302187E-08	3365435.25	-2.80805608099399E-07
1	23	69.038338825695	-0.38421630859375	-0.384521484375	-1.068115234375E-07	4.10713241194571E-08	3600000.25	-2.86406816485396E-07
1	24	69.0886928255678	-0.379180908203125	-0.37908935546875	-9.94873046874997E-08	3.77145781271793E-08	3810429.5	-2.91600798618674E-07
1	25	69.1390468254407	-0.3741455078125	-0.374420166015625	-9.18579101562497E-08	3.43934516422451E-08	4076080	-2.96418278367128E-07
1	26	69.1894008253136	-0.369110107421875	-0.3690185546875	-8.544921875E-08	3.15323447352966E-08	4318571.5	-3.00882362580523E-07
1	27	69.2397548251864	-0.36407470703125	-0.364410400390625	-7.84301757812495E-08	2.85807715272313E-08	4646303.5	-3.05008342138535E-07
1	28	69.2901088250593	-0.359039306640625	-0.35894775390625	-7.14111328125003E-08	2.56328647196824E-08	5026496	-3.0878089773978E-07
1	29	69.3404628249322	-0.35400390625	-0.35430908203125	-6.53076171875003E-08	2.31390817617694E-08	5425233.5	-3.12223079390606E-07
1	30	69.390816824805	-0.348968505859375	-0.348846435546875	-6.01196289062494E-08	2.09725161681718E-08	5802538.5	-3.15380958681999E-07
1	31	69.4411708246779	-0.34393310546875	-0.34417724609375	-5.4931640625E-08	1.89062205890878E-08	6265555.5	-3.18277585620308E-07
1	32	69.4915248245508	-0.338897705078125	-0.33880615234375	-4.8828125E-08	1.65432680887534E-08	6938750	-3.20889967042604E-07
1	33	69.5418788244236	-0.3338623046875	-0.334197998046875	-4.425048828125E-08	1.47884247070351E-08	7552414	-3.23233393828559E-07
1	34	69.5922328242965	-0.328826904296875	-0.3287353515625	-3.93676757812503E-08	1.29415456129323E-08	8350388	-3.25338646689488E-07
1	35	69.6425868241694	-0.32379150390625	-0.324066162109375	-3.44848632812506E-08	1.11753770681844E-08	9397345	-3.27198023342135E-07
1	36	69.6929408240422	-0.318756103515625	-0.3187255859375	-2.96020507812494E-08	9.43493105864945E-09	10767010	-3.28811552208208E-07
1	37	69.7432948239151	-0.313720703125	-0.313995361328125	-2.56347656250003E-08	8.04919775276858E-09	12248810	-3.30202254872347E-07
1	38	69.793648823788	-0.308685302734375	-0.30865478515625	-1.95312500000003E-08	6.02841376817764E-09	15803125	-3.31339379044948E-07
1	39	69.8440028236608	-0.30364990234375	-0.30377197265625	-1.8310546875E-08	5.56223067604833E-09	16590001	-3.32292131588474E-07
1	40	69.8943568235337	-0.298614501953125	-0.298675537109375	-1.220703125E-08	3.64594154866893E-09	24467500	-3.33060484081216E-07
1	41	69.9447108234066	-0.2935791015625	-0.293548583984375	-1.09863281249997E-08	3.22502091698595E-09	26719446	-3.33644408101463E-07
1	42	69.9950648232794	-0.288543701171875	-0.28863525390625	-4.88281249999972E-09	1.40935174641754E-09	59112500	-3.34043960492636E-07
1	43	70.0454188231523	-0.28350830078125	-0.28350830078125	-3.66210937499945E-09	1.03823838415451E-09	77416672	-3.34259084411315E-07
1	44	70.0957728230252	-0.278472900390625	-0.278717041015625	1.22070312500028E-09	-3.40230760231819E-10	-228325008	-3.34320560568813E-07
1	45	70.1461268228981	-0.2734375	-0.27325439453125	2.13623046874945E-09	-5.83734338643893E-10	-127914296	-3.34236034404967E-07
1	46	70.1964808227709	-0.268402099609375	-0.268646240234375	7.32421875000028E-09	-1.96762384163662E-09	-36679168	-3.3399786047994E-07
1	47	70.2468348226438	-0.26336669921875	-0.2633056640625	8.23974609374945E-09	-2.1695716334591E-09	-31955556	-3.33606010372023E-07
1	48	70.2971888225167	-0.258331298828125	-0.258392333984375	1.28173828124994E-08	-3.31191341018666E-09	-20159524	-3.33075831804308E-07
1	49	70.3475428223895	-0.2532958984375	-0.253082275390625	1.373291015625E-08	-3.47555606516892E-09	-18428890	-3.32407381620214E-07
1	50	70.3978968222624	-0.248260498046875	-0.24847412109375	1.70898437499997E-08	-4.24638368912156E-09	-14539287	-3.31631355265927E-07
1	51	70.4482508221353	-0.24322509765625	-0.243255615234375	1.80053710937503E-08	-4.37990754775797E-09	-13510169	-3.30747781163154E-07
