Potential - Start 1.505 V, Stop -0.205 V, Step -0.005 V; Modulation - Amplitude -0.05 V, Time 0.025 s, Interval time 0.05 s
Index	Base.Time (s)	Potential applied (V)	WE(1).Base.Potential (V)	WE(1).Base.Current (A)	WE(1).Pulse.Current (A)	WE(1).δ.Current (A)	WE(1).Base.Power (W)	WE(1).Base.Resistance (Ω)	WE(1).Base.Charge (C)
1	162.278602590286	1.50497436523438	1.505126953125	1.07421875E-06	4.47692871093749E-07	-6.26525878906251E-07	1.61683556143544E-06	1401136.375	0
2	162.32860259016	1.49993896484375	1.49993896484375	1.15997314453125E-06	4.64477539062499E-07	-6.9549560546875E-07	1.73988883034326E-06	1293080.875	5.58547945672672E-08
3	162.378602590033	1.49490356445313	1.49505615234375	1.1419677734375E-06	4.5623779296875E-07	-6.85729980468749E-07	1.70730595527857E-06	1309192.875	1.13403316959193E-07
4	162.428602589907	1.4898681640625	1.4898681640625	1.11663818359375E-06	4.44641113281249E-07	-6.71997070312501E-07	1.66364361575688E-06	1334244.375	1.69868471289192E-07
5	162.478602589781	1.48483276367188	1.4849853515625	1.090087890625E-06	4.31213378906251E-07	-6.58874511718749E-07	1.61876448601106E-06	1362262.125	2.25036615120189E-07
6	162.528602589655	1.47979736328125	1.4794921875	1.0650634765625E-06	4.1839599609375E-07	-6.4666748046875E-07	1.57575300363533E-06	1389111.75	2.78915393892021E-07
7	162.578602589528	1.47476196289063	1.47491455078125	1.041259765625E-06	4.058837890625E-07	-6.353759765625E-07	1.5357692291218E-06	1416471.25	3.31573488665526E-07
8	162.628602589402	1.4697265625	1.4697265625	1.019287109375E-06	3.9398193359375E-07	-6.2530517578125E-07	1.49807328853058E-06	1441916.25	3.83087154887107E-07
9	162.678602589276	1.46469116210938	1.46453857421875	9.991455078125E-07	3.8299560546875E-07	-6.1614990234375E-07	1.46328716255084E-06	1465791	4.33547967304548E-07
10	162.72860258915	1.45965576171875	1.4593505859375	9.7991943359375E-07	3.72314453125E-07	-6.0760498046875E-07	1.4300459270089E-06	1489255.75	4.83024564346124E-07
11	162.778602589024	1.45462036132813	1.4544677734375	9.6221923828125E-07	3.6285400390625E-07	-5.99365234375E-07	1.39951691835449E-06	1511576.25	5.31578052687109E-07
12	162.828602588897	1.4495849609375	1.4495849609375	9.46044921875E-07	3.53393554687501E-07	-5.92651367187499E-07	1.37137249112129E-06	1532258.125	5.79284630930488E-07
