Potential,Current,Normalized_Potential,Normalized_Current
-0.200042724609375,8.990478515625e-07,-0.206451416015625,0.13289426199927826
-0.19500732421875,1.243896484375e-06,-0.201416015625,0.183868639480332
-0.189971923828125,1.24786376953125e-06,-0.196380615234375,0.184455070371707
-0.1849365234375,1.24542236328125e-06,-0.19134521484375,0.18409418982316852
-0.179901123046875,1.24481201171875e-06,-0.186309814453125,0.18400396968603394
-0.17486572265625,1.2432861328125e-06,-0.1812744140625,0.1837784193431974
-0.169830322265625,1.241455078125e-06,-0.176239013671875,0.18350775893179358
-0.164794921875,1.24755859375e-06,-0.17120361328125,0.18440996030313966
-0.159759521484375,1.25396728515625e-06,-0.166168212890625,0.18535727174305305
-0.15472412109375,1.26190185546875e-06,-0.1611328125,0.18653013352580297
-0.149688720703125,1.273193359375e-06,-0.156097412109375,0.18819920606279322
-0.1446533203125,1.2890625e-06,-0.15106201171875,0.19054492962829303
-0.139617919921875,1.3092041015625e-06,-0.146026611328125,0.19352219415373512
-0.13458251953125,1.3348388671875e-06,-0.1409912109375,0.19731143991338868
-0.129547119140625,1.36627197265625e-06,-0.135955810546875,0.201957776975821
-0.12451171875,1.40655517578125e-06,-0.13092041015625,0.20791230602670516
-0.119476318359375,1.45477294921875e-06,-0.125885009765625,0.21503969686033922
-0.11444091796875,1.51214599609375e-06,-0.120849609375,0.22352038975099242
-0.109405517578125,1.58294677734375e-06,-0.115814208984375,0.233985925658607
-0.1043701171875,1.66778564453125e-06,-0.11077880859375,0.24652652472031758
-0.099334716796875,1.76544189453125e-06,-0.105743408203125,0.26096174666185495
-0.09429931640625,1.8865966796875e-06,-0.1007080078125,0.2788704438830747
-0.089263916015625,2.02484130859375e-06,-0.095672607421875,0.29930530494406354
-0.084228515625,2.18719482421875e-06,-0.09063720703125,0.32330386142186934
-0.079193115234375,2.37213134765625e-06,-0.085601806640625,0.3506405629736557
-0.07415771484375,2.581787109375e-06,-0.08056640625,0.38163118007939373
-0.069122314453125,2.81768798828125e-06,-0.075531005859375,0.41650126308191987
-0.0640869140625,3.079833984375e-06,-0.07049560546875,0.45525081198123424
-0.059051513671875,3.365478515625e-06,-0.065460205078125,0.497473836160231
-0.05401611328125,3.675537109375e-06,-0.0604248046875,0.5433056658246121
-0.048980712890625,4.00146484375e-06,-0.055389404296875,0.591483219054493
-0.0439453125,4.34967041015625e-06,-0.05035400390625,0.642953807289787
-0.038909912109375,4.70184326171875e-06,-0.045318603515625,0.6950108264164563
-0.03387451171875,5.04730224609375e-06,-0.040283203125,0.7460754240346447
-0.028839111328125,5.39520263671875e-06,-0.035247802734375,0.7975009022013714
-0.0238037109375,5.71990966796875e-06,-0.03021240234375,0.8454980151569832
-0.018768310546875,6.0137939453125e-06,-0.025177001953125,0.8889390111872971
-0.01373291015625,6.26953125e-06,-0.0201416015625,0.926741248646698
-0.008697509765625,6.48468017578125e-06,-0.015106201171875,0.9585438469866475
-0.003662109375,6.6412353515625e-06,-0.01007080078125,0.9816853121616745
0.001373291015625,6.7431640625e-06,-0.005035400390625,0.9967520750631541
0.00640869140625,6.76513671875e-06,0.0,1.0
0.011444091796875,6.73065185546875e-06,0.005035400390625,0.9949025622518947
0.0164794921875,6.62322998046875e-06,0.01007080078125,0.9790238181162035
0.021514892578125,6.45111083984375e-06,0.015106201171875,0.953581739444244
0.02655029296875,6.2200927734375e-06,0.0201416015625,0.9194334175387947
0.031585693359375,5.93658447265625e-06,0.025177001953125,0.8775261638397691
0.03662109375,5.60943603515625e-06,0.03021240234375,0.829168170335619
0.041656494140625,5.247802734375e-06,0.035247802734375,0.7757127390833635
0.04669189453125,4.86724853515625e-06,0.040283203125,0.7194604835799351
0.051727294921875,4.481201171875e-06,0.045318603515625,0.6623962468422953
0.0567626953125,4.0924072265625e-06,0.05035400390625,0.6049260194875496
0.061798095703125,3.71978759765625e-06,0.055389404296875,0.5498466257668712
0.06683349609375,3.3642578125e-06,0.0604248046875,0.4972933958859618
0.071868896484375,3.03375244140625e-06,0.065460205078125,0.4484391916275713
0.076904296875,2.72979736328125e-06,0.07049560546875,0.4035095633345363
0.081939697265625,2.45391845703125e-06,0.075531005859375,0.36273006134969327
0.08697509765625,2.21038818359375e-06,0.08056640625,0.32673222663298446
0.092010498046875,1.99554443359375e-06,0.085601806640625,0.2949747383616023
0.0970458984375,1.80694580078125e-06,0.09063720703125,0.2670967159870083
0.102081298828125,1.64276123046875e-06,0.095672607421875,0.24282749909779866
0.10711669921875,1.5032958984375e-06,0.1007080078125,0.22221219776254061
0.112152099609375,1.38336181640625e-06,0.105743408203125,0.20448394081559007
0.1171875,1.280517578125e-06,0.11077880859375,0.1892818477084085
0.122222900390625,1.1932373046875e-06,0.115814208984375,0.17638036809815952
0.12725830078125,1.11907958984375e-06,0.120849609375,0.1654186214363046
0.132293701171875,1.05560302734375e-06,0.125885009765625,0.15603572717430533
0.1373291015625,1.0009765625e-06,0.13092041015625,0.14796102490075788
0.142364501953125,9.5550537109375e-07,0.135955810546875,0.14123962468422951
0.14739990234375,9.16748046875e-07,0.1409912109375,0.1355106459761819
0.152435302734375,8.82873535156251e-07,0.146026611328125,0.13050342836521125
0.157470703125,8.53576660156249e-07,0.15106201171875,0.12617286178274978
0.162506103515625,8.2855224609375e-07,0.156097412109375,0.12247383616023097
0.16754150390625,8.06884765625e-07,0.1611328125,0.11927102129195238
0.172576904296875,7.8857421875e-07,0.166168212890625,0.1165644171779141
0.1776123046875,7.720947265625e-07,0.17120361328125,0.11412847347527968
