Potential - Start -0.205 V, Stop 1.505 V, Step 0.005 V; Modulation - Amplitude 0.05 V, Time 0.025 s, Interval time 0.05 s
Index	Base.Time (s)	Potential applied (V)	WE(1).Base.Potential (V)	WE(1).Base.Current (A)	WE(1).Pulse.Current (A)	WE(1).δ.Current (A)	WE(1).Base.Power (W)	WE(1).Base.Resistance (Ω)	WE(1).Base.Charge (C)
1	111.60282271823	-0.204925537109375		-4.65087890625E-07	2.9266357421875E-07	7.57751464843751E-07	9.52516074903542E-08	440354.34375	0
2	111.652822718104	-0.19989013671875		-7.03125E-07	2.5909423828125E-07	9.62219238281251E-07	1.40461921205315E-07	284114.59375	-2.92053226047528E-08
3	111.702822717977	-0.194854736328125		-7.049560546875E-07	2.6580810546875E-07	9.7076416015625E-07	1.37277964995519E-07	276233.78125	-6.44073452349403E-08
4	111.752822717851	-0.1898193359375		-6.9427490234375E-07	2.78625488281251E-07	9.72900390625001E-07	1.31702051930915E-07	273230.78125	-9.93881243971373E-08
5	111.802822717725	-0.184783935546875		-6.81457519531251E-07	2.92053222656249E-07	9.735107421875E-07	1.25839207498757E-07	270980.75	-1.33781426825408E-07
6	111.852822717599	-0.17974853515625		-6.6986083984375E-07	3.070068359375E-07	9.7686767578125E-07	1.20324727959087E-07	268154.90625	-1.67564394359943E-07
7	111.902822717473	-0.174713134765625		-6.57958984375E-07	3.21350097656251E-07	9.7930908203125E-07	1.14813524021429E-07	265213.34375	-2.00759885160551E-07
8	111.952822717346	-0.169677734375		-6.47888183593751E-07	3.36303710937499E-07	9.8419189453125E-07	1.09853104390822E-07	261705.140625	-2.33406069582998E-07
9	112.00282271722	-0.164642333984375		-6.38427734375E-07	3.5247802734375E-07	9.9090576171875E-07	1.05034295927453E-07	257696	-2.65563954826575E-07
10	112.052822717094	-0.15960693359375		-6.2896728515625E-07	3.68652343750001E-07	9.9761962890625E-07	1.00349147658108E-07	253663.28125	-2.97248845981812E-07
11	112.102822716968	-0.154571533203125		-6.21948242187501E-07	3.86657714843749E-07	1.00860595703125E-06	9.60785513370865E-08	248380.765625	-3.28521707615437E-07
12	112.152822716841	-0.1495361328125		-6.146240234375E-07	4.0557861328125E-07	1.02020263671875E-06	9.18709872621548E-08	243197.625	-3.59436029384597E-07
13	112.202822716715	-0.144500732421875		-6.085205078125E-07	4.26025390625E-07	1.0345458984375E-06	8.78759465194889E-08	237311.9375	-3.90014633921965E-07
14	112.252822716589	-0.13946533203125		-6.04248046875E-07	4.4891357421875E-07	1.05316162109375E-06	8.42163316860933E-08	230656.5625	-4.20333861939071E-07
15	112.302822716463	-0.134429931640625		-6.00280761718749E-07	4.7454833984375E-07	1.0748291015625E-06	8.06041100531729E-08	223690.890625	-4.50447060984516E-07
16	112.352822716336	-0.12939453125		-5.96923828125E-07	5.02929687500001E-07	1.099853515625E-06	7.72022445971743E-08	216666.671875	-4.8037719579952E-07
17	112.40282271621	-0.124359130859375		-5.963134765625E-07	5.3558349609375E-07	1.13189697265625E-06	7.41024237527199E-08	208393.046875	-5.10208110426902E-07
18	112.452822716084	-0.11932373046875		-5.97229003906249E-07	5.7220458984375E-07	1.16943359375E-06	7.1172458149249E-08	199540.125	-5.4004669891583E-07
19	112.502822715958	-0.114288330078125		-6.00585937500001E-07	6.146240234375E-07	1.2152099609375E-06	6.85666492472592E-08	190091.46875	-5.69992039345379E-07
20	112.552822715831	-0.1092529296875		-6.05163574218751E-07	6.6375732421875E-07	1.2689208984375E-06	6.6115894981067E-08	180534.546875	-6.00135763306753E-07
21	112.602822715705	-0.104217529296875		-6.1309814453125E-07	7.21435546875E-07	1.33453369140625E-06	6.38581525436166E-08	169885.53125	-6.30592353445536E-07
22	112.652822715579	-0.09918212890625		-6.2408447265625E-07	7.86743164062501E-07	1.41082763671875E-06	6.18408861896569E-08	158777.515625	-6.61521880829241E-07
23	112.702822715453	-0.094146728515625		-6.40869140625E-07	8.63037109375001E-07	1.50390625E-06	6.02770597879498E-08	146761.90625	-6.93145750574331E-07
24	112.752822715326	-0.089111328125		-6.5948486328125E-07	9.5367431640625E-07	1.6131591796875E-06	5.87273198959792E-08	135030.078125	-7.25654558664246E-07
25	112.8028227152	-0.084075927734375		-6.8359375E-07	1.05987548828125E-06	1.74346923828125E-06	5.74320537793938E-08	122901.7890625	-7.59231568281393E-07
26	112.852822715074	-0.07904052734375		-7.12890625E-07	1.181640625E-06	1.89453125E-06	5.63254936025714E-08	110830.484375	-7.94143659277324E-07
27	112.902822714948	-0.074005126953125		-7.4798583984375E-07	1.3214111328125E-06	2.06939697265625E-06	5.53091332733402E-08	98857.609375	-8.30665555895393E-07
28	112.952822714822	-0.0689697265625		-7.9010009765625E-07	1.48223876953125E-06	2.2723388671875E-06	5.44688774084534E-08	87253.765625	-8.69117741331138E-07
29	113.002822714695	-0.063934326171875		-8.392333984375E-07	1.66595458984375E-06	2.50518798828125E-06	5.36045980936706E-08	76109.09375	-9.09851053165767E-07
30	113.052822714569	-0.05889892578125		-8.96301269531249E-07	1.87042236328125E-06	2.7667236328125E-06	5.27364747426873E-08	65645.21875	-9.53239407408546E-07
31	113.102822714443	-0.053863525390625		-9.60693359375001E-07	2.09930419921875E-06	3.05999755859375E-06	5.1687695901137E-08	56003.8125	-9.99664280243451E-07
32	113.152822714317	-0.048828125		-1.0302734375E-06	2.35015869140625E-06	3.38043212890625E-06	5.01459709312257E-08	47242.30078125	-1.04943842416105E-06
33	113.20282271419	-0.043792724609375		-1.1126708984375E-06	2.62298583984375E-06	3.73565673828125E-06	4.85537121619473E-08	39218.32421875	-1.10301209588215E-06
34	113.252822714064	-0.03875732421875		-1.1981201171875E-06	2.9132080078125E-06	4.111328125E-06	4.62531097866759E-08	32221.08984375	-1.16078183509671E-06
35	113.302822713938	-0.033721923828125		-1.2872314453125E-06	3.2183837890625E-06	4.505615234375E-06	4.32468603150937E-08	26100.048828125	-1.2229156709509E-06
36	113.352822713812	-0.0286865234375		-1.3787841796875E-06	3.533935546875E-06	4.9127197265625E-06	3.9413670549493E-08	20732.625	-1.28956605749408E-06
37	113.402822713685	-0.023651123046875		-1.4678955078125E-06	3.85223388671875E-06	5.32012939453125E-06	3.45874653362443E-08	16051.974609375	-1.36073299472628E-06
38	113.452822713559	-0.01861572265625		-1.55242919921875E-06	4.16259765625E-06	5.71502685546875E-06	2.87290369271886E-08	11920.5830078125	-1.43624106385687E-06
39	113.502822713433	-0.013580322265625		-1.6265869140625E-06	4.4647216796875E-06	6.09130859375E-06	2.19059064221483E-08	8279.5498046875	-1.51571646256343E-06
40	113.552822713307	-0.008544921875		-1.68487548828125E-06	4.7515869140625E-06	6.43646240234375E-06	1.42223068877456E-08	5009.96240234375	-1.59850310410548E-06
41	113.60282271318	-0.003509521484375		-1.72393798828125E-06	5.0048828125E-06	6.72882080078125E-06	5.84501691491823E-09	1966.7197265625	-1.68372343978263E-06
42	113.652822713054	0.00152587890625		-1.73675537109375E-06	5.2276611328125E-06	6.96441650390625E-06	-2.86738455201885E-09	-950.623840332031	-1.7702407149045E-06
43	113.702822712928	0.006561279296875		-1.7156982421875E-06	5.4046630859375E-06	7.120361328125E-06	-1.14299600895151E-08	-3882.9599609375	-1.85655210316327E-06
44	113.752822712802	0.0115966796875		-1.669921875E-06	5.52978515625E-06	7.19970703125E-06	-1.94980511736276E-08	-6991.95947265625	-1.9411925222812E-06
45	113.802822712675	0.016632080078125		-1.59454345703125E-06	5.5999755859375E-06	7.19451904296875E-06	-2.66373625379401E-08	-10476.5556640625	-2.02280421035539E-06
46	113.852822712549	0.02166748046875		-1.488037109375E-06	5.615234375E-06	7.103271484375E-06	-3.23373789967718E-08	-14604.1826171875	-2.09986865229439E-06
47	113.902822712423	0.026702880859375		-1.3531494140625E-06	5.57861328125E-06	6.9317626953125E-06	-3.62155780919693E-08	-19778.98046875	-2.17089836951345E-06
48	113.952822712297	0.03173828125		-1.19476318359375E-06	5.4901123046875E-06	6.68487548828125E-06	-3.80072364691841E-08	-26625.798828125	-2.23459619519417E-06
49	114.002822712171	0.036773681640625		-1.01531982421875E-06	5.3558349609375E-06	6.37115478515625E-06	-3.74238062761378E-08	-36302.98046875	-2.28984822570055E-06
50	114.052822712044	0.04180908203125		-8.1939697265625E-07	5.1849365234375E-06	6.00433349609375E-06	-3.43532597923968E-08	-51165.73828125	-2.33571608987404E-06
51	114.102822711918	0.046844482421875		-6.146240234375E-07	4.9896240234375E-06	5.604248046875E-06	-2.88630204181572E-08	-76405.1640625	-2.3715667794022E-06
52	114.152822711792	0.0518798828125		-4.1015625E-07	4.77294921875E-06	5.18310546875E-06	-2.13164081941386E-08	-126711.3125	-2.39718610828277E-06
53	114.202822711666	0.056915283203125		-1.9989013671875E-07	4.547119140625E-06	4.74700927734375E-06	-1.13768034992745E-08	-284732.8125	-2.4124374249368E-06
54	114.252822711539	0.06195068359375		6.10351562499445E-10	4.3182373046875E-06	4.317626953125E-06	3.78489496688506E-11	101600000	-2.41741940953943E-06
55	114.302822711413	0.066986083984375		1.8890380859375E-07	4.09423828125E-06	3.90533447265625E-06	1.26596901850462E-08	354765.78125	-2.41268162426422E-06
56	114.352822711287	0.072021484375		3.62548828125001E-07	3.878173828125E-06	3.515625E-06	2.61113051180928E-08	198653.203125	-2.39889527620107E-06
57	114.402822711161	0.077056884765625		5.18798828125E-07	3.67340087890625E-06	3.15460205078125E-06	3.99770208048267E-08	148529.421875	-2.37686140280857E-06
58	114.452822711034	0.08209228515625		6.57043457031251E-07	3.48114013671875E-06	2.8240966796875E-06	5.39582458713994E-08	124988.3984375	-2.34746539717889E-06
59	114.502822710908	0.087127685546875		7.757568359375E-07	3.30413818359375E-06	2.52838134765625E-06	6.76135698540747E-08	112352.484375	-2.31164540309692E-06
60	114.552822710782	0.0921630859375		8.7493896484375E-07	3.14178466796875E-06	2.266845703125E-06	8.06103770401023E-08	105301.7109375	-2.27037799049867E-06
61	114.602822710656	0.097198486328125		9.5703125E-07	2.994384765625E-06	2.037353515625E-06	9.30219883343852E-08	101562.5	-2.22457879317517E-06
62	114.652822710529	0.10223388671875		1.02325439453125E-06	2.86102294921875E-06	1.8377685546875E-06	1.04642502662955E-07	99940.3515625	-2.17507158595254E-06
63	114.702822710403	0.107269287109375		1.075439453125E-06	2.74078369140625E-06	1.66534423828125E-06	1.15361615371512E-07	99744.6171875	-2.12260442822299E-06
64	114.752822710277	0.1123046875		1.11419677734375E-06	2.63336181640625E-06	1.5191650390625E-06	1.2512951741428E-07	100794.3046875	-2.06786330636533E-06
65	114.802822710151	0.117340087890625		1.1419677734375E-06	2.5360107421875E-06	1.39404296875E-06	1.34033456333782E-07	102779.2578125	-2.01145940081915E-06
66	114.852822710024	0.12237548828125		1.162109375E-06	2.449951171875E-06	1.287841796875E-06	1.42213693266058E-07	105304.625	-1.95385746337706E-06
67	114.902822709898	0.127410888671875		1.17401123046875E-06	2.3724365234375E-06	1.19842529296875E-06	1.49617648048661E-07	108552.1171875	-1.89545437478955E-06
68	114.952822709772	0.1324462890625		1.180419921875E-06	2.30316162109375E-06	1.12274169921875E-06	1.56378249016598E-07	112228.546875	-1.83659358299337E-06
69	115.002822709646	0.137481689453125		1.181640625E-06	2.2406005859375E-06	1.0589599609375E-06	1.62417890692268E-07	116322.3125	-1.7775420246835E-06
70	115.05282270952	0.14251708984375		1.1798095703125E-06	2.1844482421875E-06	1.004638671875E-06	1.68179013826375E-07	120822.5625	-1.71850581409672E-06
71	115.102822709393	0.147552490234375		1.1749267578125E-06	2.1343994140625E-06	9.59472656250001E-07	1.73435083183904E-07	125636.3671875	-1.65963740528241E-06
72	115.152822709267	0.152587890625		1.1669921875E-06	2.08892822265625E-06	9.2193603515625E-07	1.78104485826225E-07	130779.2890625	-1.60108947966364E-06
73	115.202822709141	0.157623291015625		1.15814208984375E-06	2.0477294921875E-06	8.8958740234375E-07	1.82585495167586E-07	136126.484375	-1.54296105847607E-06
74	115.252822709015	0.16265869140625		1.148681640625E-06	2.00958251953125E-06	8.6090087890625E-07	1.86843038818552E-07	141604.6875	-1.485290454184E-06
75	115.302822708888	0.167694091796875		1.1376953125E-06	1.9757080078125E-06	8.380126953125E-07	1.90750071737966E-07	147371.234375	-1.42813109960116E-06
76	115.352822708762	0.1727294921875		1.126708984375E-06	1.9439697265625E-06	8.17260742187501E-07	1.9454709843103E-07	153250.265625	-1.37152096613136E-06
77	115.402822708636	0.177764892578125		1.114501953125E-06	1.91497802734375E-06	8.00476074218751E-07	1.98187350974877E-07	159556.40625	-1.31549063553393E-06
78	115.45282270851	0.18280029296875		1.10260009765625E-06	1.88812255859375E-06	7.85522460937499E-07	2.01589273274294E-07	165817.875	-1.26006318623695E-06
79	115.502822708383	0.187835693359375		1.09100341796875E-06	1.86431884765625E-06	7.733154296875E-07	2.04995956210041E-07	172223.78125	-1.20522304314363E-06
80	115.552822708257	0.19287109375		1.0797119140625E-06	1.84112548828125E-06	7.6141357421875E-07	2.08245211297253E-07	178632	-1.15095519959141E-06
81	115.602822708131	0.197906494140625		1.06842041015625E-06	1.81976318359375E-06	7.51342773437501E-07	2.11447328979375E-07	185232.796875	-1.09725181118847E-06
82	115.652822708005	0.20294189453125		1.05712890625E-06	1.80023193359375E-06	7.4310302734375E-07	2.14600262893327E-07	192032.34375	-1.0441131053085E-06
83	115.702822707878	0.207977294921875		1.04644775390625E-06	1.78192138671875E-06	7.354736328125E-07	2.17669310131896E-07	198775.15625	-9.91523734228394E-07
84	115.752822707752	0.2130126953125		1.03668212890625E-06	1.76483154296875E-06	7.28149414062501E-07	2.20826450458844E-07	205475.421875	-9.39445442327269E-07
85	115.802822707626	0.218048095703125		1.02630615234375E-06	1.748046875E-06	7.2174072265625E-07	2.237840988073E-07	212459.125	-8.87870783117251E-07
86	115.8528227075	0.22308349609375		1.01654052734375E-06	1.7327880859375E-06	7.16247558593751E-07	2.26742386644219E-07	219423.59375	-8.36799586068082E-07
87	115.902822707374	0.228118896484375		1.00738525390625E-06	1.71844482421875E-06	7.110595703125E-07	2.29742113333486E-07	226385.953125	-7.86201439950673E-07
88	115.952822707247	0.233154296875		9.9853515625E-07	1.70501708984375E-06	7.0648193359375E-07	2.32812752187783E-07	233496.328125	-7.36053436867223E-07
89	116.002822707121	0.238189697265625		9.9029541015625E-07	1.6925048828125E-06	7.0220947265625E-07	2.35938586001794E-07	240585.53125	-6.86332668919931E-07
90	116.052822706995	0.24322509765625		9.814453125E-07	1.67999267578125E-06	6.9854736328125E-07	2.3871211851656E-07	247823.390625	-6.37039192952216E-07
91	116.102822706869	0.248260498046875		9.735107421875E-07	1.66839599609375E-06	6.94885253906249E-07	2.41654561250471E-07	254984.328125	-5.88165278259112E-07
