Potential - Start -0.205 V, Stop 1.505 V, Step 0.005 V; Modulation - Amplitude 0.05 V, Time 0.025 s, Interval time 0.05 s
Index	Base.Time (s)	Potential applied (V)	WE(1).Base.Potential (V)	WE(1).Base.Current (A)	WE(1).Pulse.Current (A)	WE(1).δ.Current (A)	WE(1).Base.Power (W)	WE(1).Base.Resistance (Ω)	WE(1).Base.Charge (C)
1	139.895346646798	-0.204925537109375		-4.87670898437501E-07	2.38037109375E-07	7.25708007812501E-07	9.98766864768186E-08	419962.46875	0
2	139.945346646672	-0.19989013671875		-6.93664550781251E-07	2.093505859375E-07	9.0301513671875E-07	1.38593193810266E-07	288033.4375	-2.95333855149238E-08
3	139.995346646546	-0.194854736328125		-6.89697265625E-07	2.17285156249999E-07	9.06982421874999E-07	1.3428552847472E-07	282300.90625	-6.41174295878955E-08
4	140.045346646419	-0.1898193359375		-6.756591796875E-07	2.2918701171875E-07	9.0484619140625E-07	1.28108837316177E-07	280623.3125	-9.82513412850494E-08
5	140.095346646293	-0.184783935546875		-6.6131591796875E-07	2.4261474609375E-07	9.039306640625E-07	1.22079455877611E-07	279141.6875	-1.31675719217128E-07
6	140.145346646167	-0.17974853515625		-6.4605712890625E-07	2.5665283203125E-07	9.02709960937499E-07	1.1604895888695E-07	278034.96875	-1.6436004557363E-07
7	140.195346646041	-0.174713134765625		-6.32629394531251E-07	2.69775390625E-07	9.02404785156251E-07	1.10432132771621E-07	275928.59375	-1.96327206936076E-07
8	140.245346645915	-0.169677734375		-6.1981201171875E-07	2.82897949218749E-07	9.02709960937499E-07	1.05073716838433E-07	273510.59375	-2.27638238925465E-07
9	140.295346645788	-0.164642333984375		-6.072998046875E-07	2.972412109375E-07	9.04541015625E-07	9.9931654062857E-08	270954.78125	-2.583160494396E-07
10	140.345346645662	-0.15960693359375		-5.963134765625E-07	3.10363769531249E-07	9.0667724609375E-07	9.51211660549234E-08	267502.5625	-2.88406369008953E-07
11	140.395346645536	-0.154571533203125		-5.859375E-07	3.2470703125E-07	9.1064453125E-07	9.04798440615195E-08	263541.6875	-3.1796264465811E-07
12	140.44534664541	-0.1495361328125		-5.76171875000001E-07	3.399658203125E-07	9.16137695312501E-07	8.60705995364697E-08	259269.0625	-3.47015372881287E-07
13	140.495346645283	-0.144500732421875		-5.6793212890625E-07	3.55224609375E-07	9.2315673828125E-07	8.19799410578526E-08	254164.4375	-3.75617986492216E-07
14	140.545346645157	-0.13946533203125		-5.5999755859375E-07	3.7200927734375E-07	9.320068359375E-07	7.80660656118926E-08	248937.328125	-4.03816216021369E-07
15	140.595346645031	-0.134429931640625		-5.535888671875E-07	3.90014648437501E-07	9.43603515625001E-07	7.43682306847404E-08	242668.140625	-4.31655877264348E-07
16	140.645346644905	-0.12939453125		-5.47180175781251E-07	4.09851074218751E-07	9.57031250000001E-07	7.0735325152782E-08	236252.109375	-4.59175112155208E-07
17	140.695346644778	-0.124359130859375		-5.42602539062501E-07	4.3212890625E-07	9.747314453125E-07	6.74279050372206E-08	229021.375	-4.86419651224423E-07
18	140.745346644652	-0.11932373046875		-5.3924560546875E-07	4.5654296875E-07	9.95788574218749E-07	6.42789714788705E-08	221052.625	-5.13465863605234E-07
19	140.795346644526	-0.114288330078125		-5.3741455078125E-07	4.840087890625E-07	1.02142333984375E-06	6.13710113839261E-08	212492.890625	-5.40382359304203E-07
20	140.8453466444	-0.1092529296875		-5.37109375E-07	5.157470703125E-07	1.0528564453125E-06	5.86152069104173E-08	203181.8125	-5.67245479032863E-07
21	140.895346644273	-0.104217529296875		-5.389404296875E-07	5.53283691406251E-07	1.09222412109375E-06	5.61341444438312E-08	193261.609375	-5.94146740695578E-07
22	140.945346644147	-0.09918212890625		-5.4168701171875E-07	5.94482421875001E-07	1.13616943359375E-06	5.36926059169218E-08	182985.921875	-6.2116242816046E-07
23	140.995346644021	-0.094146728515625		-5.499267578125E-07	6.427001953125E-07	1.192626953125E-06	5.17234575170278E-08	171032.1875	-6.48452726181858E-07
24	141.045346643895	-0.089111328125		-5.59082031249999E-07	7.00988769531249E-07	1.26007080078125E-06	4.97522947284779E-08	159170.3125	-6.7617799004438E-07
25	141.095346643768	-0.084075927734375		-5.7098388671875E-07	7.6904296875E-07	1.34002685546875E-06	4.79885748916331E-08	147194.015625	-7.04429623965552E-07
26	141.145346643642	-0.07904052734375		-5.877685546875E-07	8.4808349609375E-07	1.43585205078125E-06	4.64037270830886E-08	134319.828125	-7.33398451302492E-07
