Potential - OCP -0.045437562231924 V
Time (s)	WE(1).Potential (V)
6.65330098320203	-0.0461883544921875
6.75330098294955	-0.046185302734375
6.85330098269708	-0.04617919921875
6.9533009824446	-0.0461761474609375
7.05330098219213	-0.0461700439453125
7.15330098193965	-0.046160888671875
7.25330098168718	-0.0461517333984375
7.3533009814347	-0.046148681640625
7.45330098118222	-0.0461395263671875
7.55330098092975	-0.046136474609375
7.65330098067727	-0.0461334228515625
7.7533009804248	-0.04613037109375
7.85330098017232	-0.0461273193359375
7.95330097991985	-0.046124267578125
8.05330097966737	-0.046124267578125
8.15330097941489	-0.0461212158203125
8.25330097916242	-0.0461181640625
8.35330097890994	-0.0461181640625
8.45330097865747	-0.0461151123046875
8.55330097840499	-0.0461151123046875
8.65330097815252	-0.046112060546875
8.75330097790004	-0.046112060546875
8.85330097764756	-0.046112060546875
8.95330097739509	-0.0461090087890625
9.05330097714261	-0.04610595703125
9.15330097689014	-0.0461029052734375
9.25330097663766	-0.046087646484375
9.35330097638519	-0.04609375
9.45330097613271	-0.0460845947265625
9.55330097588023	-0.0460784912109375
9.65330097562776	-0.0460693359375
9.75330097537528	-0.04605712890625
9.85330097512281	-0.0460235595703125
9.95330097487033	-0.0460357666015625
10.0533009746179	-0.04603271484375
10.1533009743654	-0.0460235595703125
10.2533009741129	-0.0460174560546875
10.3533009738604	-0.0459930419921875
10.453300973608	-0.0459869384765625
10.5533009733555	-0.04598388671875
10.653300973103	-0.045977783203125
10.7533009728505	-0.0459686279296875
10.853300972598	-0.0459564208984375
10.9533009723456	-0.045947265625
11.0533009720931	-0.0459381103515625
11.1533009718406	-0.045928955078125
11.2533009715881	-0.045916748046875
11.3533009713357	-0.045904541015625
11.4533009710832	-0.0458953857421875
11.5533009708307	-0.0458831787109375
11.6533009705782	-0.0458740234375
11.7533009703258	-0.04586181640625
11.8533009700733	-0.0458526611328125
11.9533009698208	-0.0458404541015625
12.0533009695683	-0.045831298828125
12.1533009693159	-0.045819091796875
12.2533009690634	-0.0458099365234375
12.3533009688109	-0.04580078125
12.4533009685584	-0.0457916259765625
12.553300968306	-0.045782470703125
12.6533009680535	-0.0457733154296875
12.753300967801	-0.04576416015625
12.8533009675485	-0.0457550048828125
12.9533009672961	-0.045745849609375
13.0533009670436	-0.0457366943359375
13.1533009667911	-0.0457275390625
13.2533009665386	-0.0457183837890625
13.3533009662862	-0.0457122802734375
13.4533009660337	-0.045703125
13.5533009657812	-0.045697021484375
13.6533009655287	-0.0456878662109375
13.7533009652763	-0.0456817626953125
13.8533009650238	-0.0456756591796875
13.9533009647713	-0.04566650390625
14.0533009645188	-0.045660400390625
14.1533009642664	-0.045654296875
14.2533009640139	-0.045648193359375
14.3533009637614	-0.04564208984375
14.4533009635089	-0.045635986328125
14.5533009632564	-0.0456329345703125
14.653300963004	-0.0456268310546875
14.7533009627515	-0.045623779296875
14.853300962499	-0.04561767578125
14.9533009622465	-0.0456146240234375
15.0533009619941	-0.045611572265625
15.1533009617416	-0.0456085205078125
15.2533009614891	-0.04560546875
15.3533009612366	-0.04560546875
15.4533009609842	-0.0456024169921875
15.5533009607317	-0.045599365234375
15.6533009604792	-0.0455963134765625
15.7533009602267	-0.0455963134765625
15.8533009599743	-0.04559326171875
15.9533009597218	-0.04559326171875
16.0533009594693	-0.0455902099609375
16.1533009592168	-0.045587158203125
16.2533009589644	-0.045587158203125
16.3533009587119	-0.0455841064453125
16.4533009584594	-0.0455841064453125
16.5533009582069	-0.0455841064453125
16.6533009579545	-0.0455810546875
16.753300957702	-0.0455810546875
16.8533009574495	-0.0455780029296875
16.953300957197	-0.0455780029296875
17.0533009569446	-0.045574951171875
17.1533009566921	-0.0455718994140625
17.2533009564396	-0.04556884765625
17.3533009561871	-0.0455657958984375
17.4533009559347	-0.0455596923828125
17.5533009556822	-0.045556640625
17.6533009554297	-0.045550537109375
17.7533009551772	-0.04554443359375
17.8533009549247	-0.0455413818359375
17.9533009546723	-0.0455352783203125
18.0533009544198	-0.0455291748046875
18.1533009541673	-0.04552001953125
18.2533009539148	-0.045513916015625
18.3533009536624	-0.0455078125
18.4533009534099	-0.045501708984375
18.5533009531574	-0.0454925537109375
18.6533009529049	-0.0454864501953125
18.7533009526525	-0.0454803466796875
18.8533009524	-0.04547119140625
18.9533009521475	-0.045465087890625
19.053300951895	-0.045458984375
19.1533009516426	-0.045452880859375
19.2533009513901	-0.04544677734375
19.3533009511376	-0.045440673828125
19.4533009508851	-0.0454345703125
19.5533009506327	-0.0454315185546875
19.6533009503802	-0.045428466796875
19.7533009501277	-0.0454254150390625
19.8533009498752	-0.04542236328125
19.9533009496228	-0.0454193115234375
20.0533009493703	-0.0454193115234375
20.1533009491178	-0.0454193115234375
20.2533009488653	-0.0454193115234375
20.3533009486129	-0.04542236328125
20.4533009483604	-0.04542236328125
20.5533009481079	-0.0454254150390625
20.6533009478554	-0.045428466796875
20.753300947603	-0.0454315185546875
20.8533009473505	-0.0454315185546875
20.953300947098	-0.0454345703125
21.0533009468455	-0.0454345703125
21.153300946593	-0.0454376220703125
21.2533009463406	-0.0454376220703125
21.3533009460881	-0.0454376220703125
21.4533009458356	-0.0454376220703125
21.5533009455831	-0.0454376220703125
21.6533009453307	-0.0454376220703125
21.7533009450782	-0.0454376220703125
21.8533009448257	-0.0454376220703125
21.9533009445732	-0.0454376220703125
22.0533009443208	-0.0454376220703125
22.1533009440683	-0.0454345703125
22.2533009438158	-0.0454345703125
22.3533009435633	-0.0454345703125
22.4533009433109	-0.0454315185546875
