Potential - Start 1.5 V, Stop -0.2 V, Step -0.005 V; Modulation - Amplitude -0.05 V, Time 0.025 s, Interval time 0.05 s
Index	Base.Time (s)	Potential applied (V)	WE(1).Base.Potential (V)	WE(1).Base.Current (A)	WE(1).Pulse.Current (A)	WE(1).δ.Current (A)	WE(1).Base.Power (W)	WE(1).Base.Resistance (Ω)	WE(1).Base.Charge (C)
1	160.705554594257	1.49993896484375	1.500244140625	3.21319580078125E-06	2.236328125E-06	-9.76867675781248E-07	4.82057794215507E-06	466900.96875	0
2	160.755554594131	1.49490356445313	1.495361328125	3.33251953125E-06	2.2308349609375E-06	-1.1016845703125E-06	4.98332065035356E-06	448717.9375	1.63642880579573E-07
3	160.805554594005	1.4898681640625	1.49017333984375	3.27423095703125E-06	2.205810546875E-06	-1.06842041015625E-06	4.87917168356944E-06	455121.625	3.28811637473336E-07
4	160.855554593879	1.48483276367188	1.4849853515625	3.21533203125E-06	2.17926025390625E-06	-1.03607177734375E-06	4.77472076454433E-06	461845.125	4.91050741402432E-07
5	160.905554593753	1.47979736328125	1.4794921875	3.1610107421875E-06	2.15362548828125E-06	-1.00738525390625E-06	4.67669042336638E-06	468044.03125	6.50459298867645E-07
6	160.955554593626	1.47476196289063	1.47491455078125	3.11187744140625E-06	2.12799072265625E-06	-9.83886718749999E-07	4.58975318906596E-06	473962.96875	8.07281480774691E-07
7	161.0055545935	1.4697265625	1.4697265625	3.06732177734375E-06	2.103271484375E-06	-9.64050292968752E-07	4.50812422059244E-06	479156.3125	9.61761429607577E-07
8	161.055554593374	1.46469116210938	1.46453857421875	3.02734375E-06	2.07855224609375E-06	-9.48791503906251E-07	4.43366161562153E-06	483770.1875	1.11412805381406E-06
9	161.105554593248	1.45965576171875	1.45965576171875	2.99163818359375E-06	2.05474853515625E-06	-9.368896484375E-07	4.36676191384322E-06	487911.84375	1.26460258798033E-06
10	161.155554593121	1.45462036132813	1.45477294921875	2.96051025390625E-06	2.03094482421875E-06	-9.29565429687501E-07	4.30686986874207E-06	491392.65625	1.41340638037946E-06
11	161.205554592995	1.4495849609375	1.44927978515625	2.9327392578125E-06	2.00714111328125E-06	-9.25598144531251E-07	4.25035932494211E-06	494172.75	1.56073758716957E-06
12	161.255554592869	1.44454956054688	1.4447021484375	2.90924072265625E-06	1.98211669921875E-06	-9.27124023437501E-07	4.20298647441086E-06	496590.78125	1.70678708855121E-06
13	161.305554592743	1.43951416015625	1.4398193359375	2.88787841796875E-06	1.95587158203125E-06	-9.320068359375E-07	4.15802287534461E-06	498573.40625	1.85171506927873E-06
14	161.355554592616	1.43447875976563	1.434326171875	2.8692626953125E-06	1.9287109375E-06	-9.405517578125E-07	4.11545852330164E-06	499893.65625	1.99564351532899E-06
15	161.40555459249	1.429443359375	1.42974853515625	2.85400390625E-06	1.8988037109375E-06	-9.552001953125E-07	4.08050800615456E-06	500962.34375	2.13872522181191E-06
16	161.455554592364	1.42440795898438	1.42425537109375	2.84149169921875E-06	1.866455078125E-06	-9.75036621093751E-07	4.04700949729886E-06	501235.125	2.28111252909002E-06
17	161.505554592238	1.41937255859375	1.4190673828125	2.830810546875E-06	1.83135986328125E-06	-9.99450683593751E-07	4.01711076847278E-06	501293.6875	2.42292026086943E-06
18	161.555554592111	1.41433715820313	1.41448974609375	2.8228759765625E-06	1.7926025390625E-06	-1.0302734375E-06	3.99292912334204E-06	501081.0625	2.56426233136153E-06
19	161.605554591985	1.4093017578125	1.40899658203125	2.8173828125E-06	1.7498779296875E-06	-1.0675048828125E-06	3.96968243876472E-06	500108.34375	2.70526879830868E-06
20	161.655554591859	1.40426635742188	1.4044189453125	2.813720703125E-06	1.7022705078125E-06	-1.1114501953125E-06	3.95164261135506E-06	499132.34375	2.84604629996466E-06
21	161.705554591733	1.39923095703125	1.39923095703125	2.81280517578125E-06	1.650390625E-06	-1.16241455078125E-06	3.93576419810415E-06	497450.375	2.98670943266188E-06
22	161.755554591606	1.39419555664063	1.39404296875	2.8143310546875E-06	1.593017578125E-06	-1.2213134765625E-06	3.92329866372165E-06	495337.21875	3.12738802676904E-06
23	161.80555459148	1.38916015625	1.38916015625	2.81707763671875E-06	1.53045654296875E-06	-1.28662109375E-06	3.91337198379915E-06	493121.03125	3.26817303175631E-06
24	161.855554591354	1.38412475585938	1.38427734375	2.82196044921875E-06	1.46270751953125E-06	-1.3592529296875E-06	3.90637569580576E-06	490537.46875	3.40914903063094E-06
25	161.905554591228	1.37908935546875	1.37908935546875	2.82745361328125E-06	1.38946533203125E-06	-1.43798828125E-06	3.89931119570974E-06	487749.625	3.55038446286926E-06
26	161.955554591102	1.37405395507813	1.37420654296875	2.8350830078125E-06	1.312255859375E-06	-1.5228271484375E-06	3.89598972105887E-06	484714.75	3.69194776794757E-06
27	162.005554590975	1.3690185546875	1.36932373046875	2.843017578125E-06	1.23138427734375E-06	-1.61163330078125E-06	3.89301112591056E-06	481644.5	3.83390033675823E-06
28	162.055554590849	1.36398315429688	1.36474609375	2.8509521484375E-06	1.14898681640625E-06	-1.70196533203125E-06	3.8908256101422E-06	478698.34375	3.97624944525887E-06
29	162.105554590723	1.35894775390625	1.3592529296875	2.8582763671875E-06	1.06475830078125E-06	-1.79351806640625E-06	3.88512034987798E-06	475549.875	4.11898008678691E-06
30	162.155554590597	1.35391235351563	1.353759765625	2.8631591796875E-06	9.80529785156251E-07	-1.88262939453125E-06	3.87602949558641E-06	472820.3125	4.26201631853473E-06
31	162.20555459047	1.348876953125	1.34918212890625	2.86590576171875E-06	8.984375E-07	-1.96746826171875E-06	3.86662895834888E-06	470769.875	4.40524263467523E-06
32	162.255554590344	1.34384155273438	1.34429931640625	2.86407470703125E-06	8.20312500000001E-07	-2.04376220703125E-06	3.85017347070971E-06	469366.03125	4.54849214293063E-06
33	162.305554590218	1.33880615234375	1.33880615234375	2.85736083984375E-06	7.4737548828125E-07	-2.1099853515625E-06	3.82545249522082E-06	468546.40625	4.69152837467846E-06
34	162.355554590092	1.33377075195313	1.3336181640625	2.84515380859375E-06	6.81457519531251E-07	-2.1636962890625E-06	3.79434845854121E-06	468733.28125	4.83409121443401E-06
35	162.405554589965	1.3287353515625	1.32843017578125	2.82562255859375E-06	6.25000000000001E-07	-2.20062255859375E-06	3.75364220417396E-06	470137.1875	4.97586052006227E-06
36	162.455554589839	1.32369995117188	1.3238525390625	2.79937744140625E-06	5.7861328125E-07	-2.22076416015625E-06	3.70596285392821E-06	472909.625	5.1164856813557E-06
37	162.505554589713	1.31866455078125	1.31866455078125	2.7667236328125E-06	5.4229736328125E-07	-2.22442626953125E-06	3.64838024324854E-06	476615.9375	5.25563791597961E-06
38	162.555554589587	1.31362915039063	1.3134765625	2.7276611328125E-06	5.17578125E-07	-2.2100830078125E-06	3.58271881850669E-06	481539.5	5.39299753654632E-06
39	162.60555458946	1.30859375	1.30859375	2.68157958984375E-06	5.04455566406251E-07	-2.1771240234375E-06	3.50909817825595E-06	487993.65625	5.52822848476353E-06
40	162.655554589334	1.30355834960938	1.30340576171875	2.63153076171875E-06	5.0201416015625E-07	-2.1295166015625E-06	3.42995213031827E-06	495303.28125	5.66105654797866E-06
41	162.705554589208	1.29852294921875	1.2982177734375	2.57659912109375E-06	5.09033203125001E-07	-2.06756591796875E-06	3.34498645315762E-06	503849.375	5.79125980948447E-06
42	162.755554589082	1.29348754882813	1.29364013671875	2.51983642578125E-06	5.25817871093751E-07	-1.9940185546875E-06	3.25976157000696E-06	513382.5625	5.91867046750849E-06
43	162.805554588955	1.2884521484375	1.28875732421875	2.46124267578125E-06	5.499267578125E-07	-1.91131591796875E-06	3.17194439958257E-06	523620.625	6.04319757258054E-06
44	162.855554588829	1.28341674804688	1.282958984375	2.40234375E-06	5.79223632812501E-07	-1.8231201171875E-06	3.08210837829392E-06	534044.75	6.16478700976586E-06
45	162.905554588703	1.27838134765625	1.27838134765625	2.344970703125E-06	6.12792968750001E-07	-1.732177734375E-06	2.99776684187236E-06	545158.8125	6.28347015663167E-06
46	162.955554588577	1.27334594726563	1.273193359375	2.2906494140625E-06	6.488037109375E-07	-1.641845703125E-06	2.91643937089248E-06	555822.0625	6.39936024526833E-06
47	163.005554588451	1.268310546875	1.268310546875	2.23846435546875E-06	6.854248046875E-07	-1.55303955078125E-06	2.83906774711795E-06	566598.5	6.5125882429129E-06
48	163.055554588324	1.26327514648438	1.263427734375	2.191162109375E-06	7.2052001953125E-07	-1.47064208984375E-06	2.7683749976859E-06	576601.6875	6.62332877254812E-06
49	163.105554588198	1.25823974609375	1.25823974609375	2.14752197265625E-06	7.53173828125001E-07	-1.39434814453125E-06	2.7020973902836E-06	585903.125	6.73179602017626E-06
50	163.155554588072	1.25320434570313	1.2530517578125	2.11029052734375E-06	7.8338623046875E-07	-1.326904296875E-06	2.64430332208576E-06	593781.625	6.83824146108236E-06
51	163.205554587946	1.2481689453125	1.2481689453125	2.076416015625E-06	8.099365234375E-07	-1.2664794921875E-06	2.59171793004498E-06	601117	6.9429088398465E-06
52	163.255554587819	1.24313354492188	1.2432861328125	2.04803466796875E-06	8.331298828125E-07	-1.21490478515625E-06	2.54629298979125E-06	607063.0625	7.04602052792325E-06
53	163.305554587693	1.23809814453125	1.23809814453125	2.025146484375E-06	8.514404296875E-07	-1.1737060546875E-06	2.50733000939363E-06	611362.3125	7.1478498284705E-06
54	163.355554587567	1.23306274414063	1.2335205078125	2.00592041015625E-06	8.66088867187501E-07	-1.13983154296875E-06	2.47434400080238E-06	614939.9375	7.24862638890045E-06
55	163.405554587441	1.22802734375	1.22802734375	1.99188232421875E-06	8.7738037109375E-07	-1.114501953125E-06	2.44608600041829E-06	616516	7.34857167117298E-06
56	163.455554587314	1.22299194335938	1.22283935546875	1.9805908203125E-06	8.84094238281249E-07	-1.09649658203125E-06	2.42194414568075E-06	617411.4375	7.44788349038572E-06
57	163.505554587188	1.21795654296875	1.21795654296875	1.97357177734375E-06	8.8653564453125E-07	-1.0870361328125E-06	2.40372446569381E-06	617133.1875	7.54673737901612E-06
58	163.555554587062	1.21292114257813	1.21307373046875	1.96929931640625E-06	8.85009765625E-07	-1.08428955078125E-06	2.38890515902312E-06	615992.5625	7.64530886954162E-06
59	163.605554586936	1.2078857421875	1.2078857421875	1.96746826171875E-06	8.7921142578125E-07	-1.0882568359375E-06	2.3764769139234E-06	613928.9375	7.74372801970458E-06
60	163.655554586809	1.20285034179688	1.20269775390625	1.9683837890625E-06	8.6944580078125E-07	-1.09893798828125E-06	2.3673705982219E-06	611007.8125	7.84212443249999E-06
61	163.705554586683	1.19781494140625	1.1981201171875	1.9720458984375E-06	8.544921875E-07	-1.1175537109375E-06	2.36274763665278E-06	607551.875	7.94063544162782E-06
62	163.755554586557	1.19277954101563	1.19293212890625	1.9775390625E-06	8.3465576171875E-07	-1.14288330078125E-06	2.35906986745249E-06	603240.75	8.0393747339258E-06
63	163.805554586431	1.187744140625	1.187744140625	1.98577880859375E-06	8.09631347656251E-07	-1.1761474609375E-06	2.35859693020757E-06	598125.125	8.13845781522105E-06
64	163.855554586304	1.18270874023438	1.18316650390625	1.99615478515625E-06	7.7789306640625E-07	-1.21826171875E-06	2.36178334489523E-06	592722.875	8.2380065578036E-06
65	163.905554586178	1.17767333984375	1.17767333984375	2.00958251953125E-06	7.403564453125E-07	-1.26922607421875E-06	2.36663163377671E-06	586028.875	8.33815010992112E-06
66	163.955554586052	1.17263793945313	1.17218017578125	2.02545166015625E-06	6.9549560546875E-07	-1.3299560546875E-06	2.37419408222195E-06	578725.375	8.43902580527356E-06
67	164.005554585926	1.1676025390625	1.16790771484375	2.04437255859375E-06	6.427001953125E-07	-1.40167236328125E-06	2.38763823290356E-06	571279.3125	8.5407709775609E-06
68	164.0555545858	1.16256713867188	1.16302490234375	2.06695556640625E-06	5.8135986328125E-07	-1.485595703125E-06	2.40392068917572E-06	562675.375	8.64355479279766E-06
69	164.105554585673	1.15753173828125	1.15814208984375	2.09259033203125E-06	5.0994873046875E-07	-1.5826416015625E-06	2.4235168893938E-06	553449.0625	8.74754277901957E-06
70	164.155554585547	1.15249633789063	1.15234375	2.12127685546875E-06	4.28466796875E-07	-1.69281005859375E-06	2.44444004238176E-06	543231.1875	8.85288955032593E-06
71	164.205554585421	1.1474609375	1.14776611328125	2.15545654296875E-06	3.36608886718751E-07	-1.81884765625E-06	2.47395996666455E-06	532493.3125	8.95980792847695E-06
72	164.255554585295	1.14242553710938	1.142578125	2.19268798828125E-06	2.32849121093751E-07	-1.9598388671875E-06	2.5053172976186E-06	521085.59375	9.06851164472755E-06
