Potential - Start -0.205 V, Stop 1.505 V, Step 0.005 V; Modulation - Amplitude 0.05 V, Time 0.025 s, Interval time 0.05 s
Index	Base.Time (s)	Potential applied (V)	WE(1).Base.Potential (V)	WE(1).Base.Current (A)	WE(1).Pulse.Current (A)	WE(1).δ.Current (A)	WE(1).Base.Power (W)	WE(1).Base.Resistance (Ω)	WE(1).Base.Charge (C)
1	132.512211665439	-0.204925537109375		-4.7332763671875E-07	2.5146484375E-07	7.2479248046875E-07	9.69246940485391E-08	432624.125	0
2	132.562211665313	-0.19989013671875		-6.8817138671875E-07	2.22167968750001E-07	9.10339355468751E-07	1.37495661078901E-07	290332.59375	-2.90374746469979E-08
3	132.612211665186	-0.194854736328125		-6.88781738281249E-07	2.31323242187501E-07	9.2010498046875E-07	1.34149317432275E-07	282764.75	-6.34613002148399E-08
4	132.66221166506	-0.1898193359375		-6.793212890625E-07	2.4566650390625E-07	9.2498779296875E-07	1.28844661162475E-07	279200.375	-9.76638787619777E-08
5	132.712211664934	-0.184783935546875		-6.6802978515625E-07	2.6214599609375E-07	9.30175781250001E-07	1.23318855571597E-07	276336.21875	-1.31347647425173E-07
6	132.762211664808	-0.17974853515625		-6.561279296875E-07	2.8076171875E-07	9.368896484375E-07	1.17797867460467E-07	273627.90625	-1.64451591899706E-07
7	132.812211664681	-0.174713134765625		-6.46362304687501E-07	2.99072265625E-07	9.45434570312501E-07	1.12849086519873E-07	270113.3125	-1.97013847014205E-07
8	132.862211664555	-0.169677734375		-6.37207031250001E-07	3.18603515625E-07	9.55810546875001E-07	1.08022611300385E-07	266044.0625	-2.29103079618653E-07
9	132.912211664429	-0.164642333984375		-6.2896728515625E-07	3.40881347656249E-07	9.69848632812499E-07	1.03477859170198E-07	261572.0625	-2.60757445857962E-07
10	132.962211664303	-0.15960693359375		-6.2286376953125E-07	3.643798828125E-07	9.8724365234375E-07	9.93373419078125E-08	256050.96875	-2.92053215389387E-07
11	133.012211664176	-0.154571533203125		-6.1798095703125E-07	3.9031982421875E-07	1.00830078125E-06	9.54279713027972E-08	249876.546875	-3.23074317520877E-07
12	133.06221166405	-0.1495361328125		-6.14013671874999E-07	4.19006347656251E-07	1.03302001953125E-06	9.17984834813979E-08	243489.078125	-3.53874185066161E-07
13	133.112211663924	-0.144500732421875		-6.1187744140625E-07	4.52575683593751E-07	1.064453125E-06	8.83420483432928E-08	235960.09375	-3.84521484875222E-07
14	133.162211663798	-0.13946533203125		-6.121826171875E-07	4.8980712890625E-07	1.10198974609375E-06	8.53035189152251E-08	227617.15625	-4.15122968888681E-07
15	133.212211663671	-0.134429931640625		-6.14013671874999E-07	5.33447265625001E-07	1.1474609375E-06	8.24668546783869E-08	218737.59375	-4.4577788571587E-07
16	133.262211663545	-0.12939453125		-6.17370605468751E-07	5.8319091796875E-07	1.2005615234375E-06	7.98278563252097E-08	209441.4375	-4.7656249080319E-07
17	133.312211663419	-0.124359130859375		-6.23779296875E-07	6.4239501953125E-07	1.26617431640625E-06	7.74965016603346E-08	199168.3125	-5.07591209952807E-07
18	133.362211663293	-0.11932373046875		-6.3507080078125E-07	7.09228515625E-07	1.34429931640625E-06	7.57208695745248E-08	187746.28125	-5.39062455118255E-07
19	133.412211663167	-0.114288330078125		-6.488037109375E-07	7.87353515625E-07	1.4361572265625E-06	7.41110923740962E-08	176058.328125	-5.71159318951686E-07
20	133.46221166304	-0.1092529296875		-6.67419433593749E-07	8.77685546875E-07	1.54510498046875E-06	7.28360589619115E-08	163511.65625	-6.0406489410525E-07
21	133.512211662914	-0.104217529296875		-6.9000244140625E-07	9.83581542968751E-07	1.673583984375E-06	7.18471753202721E-08	150906.6875	-6.38000472008571E-07
22	133.562211662788	-0.09918212890625		-7.1868896484375E-07	1.10321044921875E-06	1.8218994140625E-06	7.11933694219624E-08	137834.390625	-6.73217755320366E-07
23	133.612211662662	-0.094146728515625		-7.55615234375E-07	1.2432861328125E-06	1.9989013671875E-06	7.11156360466703E-08	124555.7421875	-7.10075369170227E-07
24	133.662211662535	-0.089111328125		-7.9681396484375E-07	1.40289306640625E-06	2.19970703125E-06	7.10051466512596E-08	111834.546875	-7.48886066048726E-07
